SECTOR F,Fermi Bubbles,,,,,ANALYSIS,
Regime,Count,Description,,,,,
F. Fermi Bubbles,10,Fermi Bubbles,,,,Cumulative,
Target Coordinate,RA,DEC,start_xyz,search_radius,Type,Closest OFFSET,0.02
17h45m41.21s -28d59m32.55s,0.3044,5.7566,Solenoidal Metric Schema (Iron),2.6,MATCH: CXOU J174541.2-285929 (X),,
17h45m40.29s -28d59m42.48s,0.2726,27.5648,Gasious Substrate Schema,1.49,MATCH: OH 359.955-00.040 (Mas),,
17h45m37.54s -28d59m46.55s,0.5499,520.8985,Localized Torsional Inflection,1.32,MATCH: [NS2013] 51 (*),,
17h45m41.58s -29d00m50.62s,0.4257,29.3936,Trefoil Metric Schema,4.07,MATCH: [BSD96] 119 (*),,
17h45m41.74s -29d00m50.27s,0.2663,279.4146,Localized Torsional Inflection,2.49,MATCH: OH 359.943-00.055 (OH?),,
17h45m40.86s -28d59m21.56s,0.2314,15.9915,Gasious Substrate Schema,6.46,MATCH: OH 359.960-00.037 (Mas),,
17h45m42.57s -28d59m47.76s,0.7372,108.2085,Metric Spacetime Anomaly,3.96,MATCH: [BSD96] 124 (*),,
17h45m36.23s -29d00m36.59s,0.2655,4.3072,Gasious Substrate Schema,0.39,MATCH: CXOGC J174536.2-290036 (X),,
17h45m37.68s -29d01m35.97s,0.1937,36.4539,Minkowskian Baseline,2.17,MATCH: CXOGC J174537.7-290134 (X),,
17h45m37.20s -29d01m28.39s,0.216,30.8018,Minkowskian Baseline,2.38,MATCH: CXOGC J174537.2-290126 (X),,
17h45m43.52s -29d00m44.95s,0.206,234.091,Minkowskian Baseline,2.11,MATCH: CXOGC J174543.6-290044 (X),,
17h45m36.36s -29d01m18.41s,0.2549,70.5322,Gasious Substrate Schema,4.11,MATCH: CXOGC J174536.4-290114 (X),,
17h45m35.21s -29d01m17.38s,1.3561,344.7017,Metric Spacetime Anomaly,1.5,MATCH: HIGALBM G359.9237-00.0384 (smm),,
17h45m41.52s -29d00m48.00s,0.2494,56.0235,Gasious Substrate Schema,3.23,MATCH: [BSD96] 119 (*),,
17h45m37.34s -28d59m44.30s,0.2252,22.6645,Gasious Substrate Schema,4.78,MATCH: [NS2013] 51 (*),,
17h45m36.17s -29d00m16.03s,0.2507,7.3577,Gasious Substrate Schema,2.01,MATCH: [FJ95] 39 (*),,
17h45m42.14s -28d59m49.31s,0.1821,255.0126,Minkowskian Baseline,3.82,MATCH: [BSD96] 124 (*),,
17h45m37.10s -28d59m54.17s,0.3843,99.3284,Trefoil Metric Schema,1.81,MATCH: CXOGC J174537.0-285955 (X),,
17h45m39.27s -29d00m13.97s,0.2688,22.0866,Gasious Substrate Schema,0.51,MATCH: GCIRS 11NE (*),,
17h45m42.10s -29d01m26.67s,0.7837,283.7887,Localized Torsional Inflection,4.41,MATCH: CXOGC J174541.9-290130 (X),,
17h45m36.98s -29d01m11.98s,0.2441,28.6457,Gasious Substrate Schema,1.48,MATCH: CXOGC J174537.0-290110 (X),,
17h45m34.58s -28d59m55.64s,0.2948,59.0047,Solenoidal Metric Schema (Iron),5.35,MATCH: CXOGC J174534.4-285951 (X),,
17h45m40.78s -29d01m26.96s,0.2226,255.6145,Gasious Substrate Schema,4.5,MATCH: [FJ95]  8 (*),,
17h45m43.98s -29d01m13.31s,0.2667,11.9553,Gasious Substrate Schema,4.88,MATCH: SSTGC 536969 (IR),,
17h45m43.83s -29d00m30.86s,0.252,41.257,Gasious Substrate Schema,2.22,MATCH: [FJ95] 53 (*),,
17h45m40.62s -29d01m42.84s,0.2371,175.6478,Gasious Substrate Schema,1.67,MATCH: CXOGC J174540.7-290141 (X),,
17h45m39.36s -29d00m32.21s,0.6323,72.2494,Metric Spacetime Anomaly,0.58,MATCH: [NS2013] 21 (*),,
17h45m37.41s -29d00m23.82s,0.7089,167.6534,Metric Spacetime Anomaly,3.02,MATCH: CXOGC J174537.6-290023 (X),,
17h45m41.12s -29d00m41.74s,0.4931,20.6065,Metric Spacetime Anomaly,0.77,MATCH: [FNS2015] 1108 (*),,
17h45m42.55s -29d01m21.55s,0.3391,14.9091,Helical Metric Schema,7.31,MATCH: CXOGC J174542.9-290126 (X),,
17h45m40.30s -28d59m40.69s,0.2948,159.7064,Solenoidal Metric Schema (Iron),1.25,MATCH: OH 359.955-00.040 (Mas),,
17h45m42.76s -28d59m27.64s,0.2038,136.106,Minkowskian Baseline,3.68,MATCH: CXOGC J174542.4-285927 (X),,
17h45m45.05s -29d00m37.20s,0.6056,59.47,Metric Spacetime Anomaly,4.97,MATCH: CXOGC J174544.6-290039 (X),,
17h45m36.94s -29d00m49.08s,0.3663,82.7139,Trefoil Metric Schema,1.18,MATCH: [MBB2008] G359.933-0.039 (X),,
17h45m37.67s -29d01m35.38s,0.2,358.1914,Minkowskian Baseline,1.73,MATCH: CXOGC J174537.7-290134 (X),,
17h45m42.87s -29d00m26.67s,0.2695,156.6336,Gasious Substrate Schema,3.02,MATCH: OSU C4 (*),,
17h45m41.96s -29d00m02.80s,0.3398,217.8044,Helical Metric Schema,3.31,MATCH: [BSD96] 121 (*),,
17h45m36.36s -29d00m53.58s,0.6717,44.5117,Metric Spacetime Anomaly,1.32,MATCH: CXOU J174536.4-290053 (X),,
17h45m37.22s -28d59m17.29s,0.3639,7.6217,Trefoil Metric Schema,3.31,MATCH: CXOGC J174537.0-285920 (X),,
17h45m42.51s -28d59m48.70s,0.275,16.9849,Gasious Substrate Schema,2.74,MATCH: [BSD96] 124 (*),,
17h45m38.76s -29d01m45.91s,0.1667,81.2727,Minkowskian Baseline,4.17,MATCH: CXOGC J174538.6-290142 (X),,
17h45m38.54s -29d00m31.48s,0.468,12.8298,Metric Spacetime Anomaly,2.2,MATCH: [FNS2015] 493 (*),,
17h45m41.20s -28d59m54.91s,0.2748,154.593,Gasious Substrate Schema,2.6,MATCH: [NS2013] 41 (*),,
17h45m38.56s -28d59m32.06s,0.3838,15.9695,Trefoil Metric Schema,4.83,MATCH: CXOGC J174538.7-285928 (X),,
17h45m37.15s -28d59m17.38s,0.2597,29.1095,Gasious Substrate Schema,2.9,MATCH: CXOGC J174537.0-285920 (X),,
17h45m38.81s -29d00m09.36s,0.718,146.4724,Metric Spacetime Anomaly,1.27,MATCH: CXOGC J174538.8-290008 (X),,
17h45m34.85s -29d00m41.47s,0.338,71.8661,Helical Metric Schema,1.14,MATCH: CXOGC J174534.8-290040 (X),,
17h45m41.15s -29d00m13.10s,0.3352,241.8498,Helical Metric Schema,0.74,MATCH: [FNS2015] 1519 (*),,
17h45m36.51s -29d00m46.65s,0.224,106.5478,Gasious Substrate Schema,3.31,MATCH: [MBB2008] G359.933-0.037 (X),,
17h45m41.89s -29d00m14.98s,0.1685,59.4088,Minkowskian Baseline,0.33,MATCH: [FNS2015] 1230 (*),,
17h45m36.41s -29d00m05.93s,0.2873,2.6189,Solenoidal Metric Schema (Iron),3.75,MATCH: [FJ95] 24 (*),,
17h45m36.30s -29d00m50.94s,0.3768,46.7974,Trefoil Metric Schema,2.51,MATCH: CXOGC J174536.1-290051 (X),,
17h45m39.75s -28d59m23.74s,0.2963,13.1871,Solenoidal Metric Schema (Iron),1.22,MATCH: CXOGC J174539.7-285924 (X),,
17h45m42.82s -29d00m20.09s,0.2112,130.847,Minkowskian Baseline,1.72,MATCH: [BSD96] 201 (*),,
17h45m43.06s -29d00m15.78s,0.4321,176.1915,Trefoil Metric Schema,1,MATCH: [BSD96] 132 (*),,
17h45m40.50s -28d59m33.23s,0.3966,6.4701,Trefoil Metric Schema,2.19,MATCH: [NS2013] 55 (*),,
17h45m42.66s -29d00m23.35s,0.3024,13.6333,Solenoidal Metric Schema (Iron),4.03,MATCH: [MES2015] 1360 (smm),,
17h45m41.80s -28d59m24.20s,0.3213,31.8886,Helical Metric Schema,1.64,MATCH: 2MASS J17454191-2859237 (*),,
17h45m36.14s -28d59m44.47s,0.6378,133.9312,Metric Spacetime Anomaly,2.04,MATCH: CXOGC J174536.1-285942 (X),,
17h45m37.28s -29d00m27.85s,0.2747,3.1998,Gasious Substrate Schema,1.23,MATCH: CXOGC J174537.3-290028 (X),,
17h45m40.74s -29d01m10.15s,0.2484,15.6561,Gasious Substrate Schema,5.36,MATCH: CXOGC J174540.7-290115 (X),,
17h45m36.42s -28d59m35.70s,0.2311,47.0851,Gasious Substrate Schema,5.47,MATCH: CXOGC J174536.2-285930 (X),,
17h45m39.42s -29d00m28.24s,0.3846,3.1597,Trefoil Metric Schema,0.52,MATCH: CXOU J174539.3-290027 (X),,
17h45m40.34s -29d00m15.71s,0.2654,156.685,Localized Torsional Inflection,0.9,MATCH: [ZKF2008] +4.29+11.49 (*),,
17h45m44.94s -29d00m16.23s,0.2331,297.6604,Localized Torsional Inflection,5.59,MATCH: [BSD96] 146 (*),,
17h45m41.08s -28d59m54.40s,0.3607,29.4779,Trefoil Metric Schema,2.91,MATCH: [NS2013] 41 (*),,
17h45m41.02s -29d00m55.06s,0.3271,102.1973,Helical Metric Schema,1.35,MATCH: CXOGC J174540.9-290056 (X),,
17h45m44.53s -28d59m45.66s,0.276,39.6524,Gasious Substrate Schema,6.76,MATCH: CXOGC J174544.1-285940 (X),,
17h45m34.26s -29d00m15.96s,0.2124,224.7745,Minkowskian Baseline,4.08,MATCH: CXOGC J174534.5-290016 (X),,
17h45m36.21s -28d59m32.81s,0.2182,94.1549,Minkowskian Baseline,2.17,MATCH: CXOGC J174536.2-285930 (X),,
17h45m37.67s -29d00m16.14s,0.5696,2.9744,Metric Spacetime Anomaly,3.9,MATCH: [FJ95] 25 (*),,
17h45m36.39s -28d59m50.76s,0.2968,100.0165,Solenoidal Metric Schema (Iron),3.93,MATCH: CXOGC J174536.5-285954 (X),,
17h45m37.81s -29d01m26.80s,0.4582,104.3594,Metric Spacetime Anomaly,0.52,MATCH: CXOGC J174537.8-290127 (X),,
17h45m42.97s -29d00m40.03s,0.2159,18.7358,Minkowskian Baseline,6.03,MATCH: UGPS J174543.01-290046.0 (*),,
17h45m38.15s -29d00m49.17s,0.5578,45.8475,Metric Spacetime Anomaly,1.91,MATCH: CXOU J174538.1-290047 (X),,
17h45m39.80s -29d00m49.23s,0.2305,4.1758,Gasious Substrate Schema,0.58,MATCH: [FNS2015] 6668 (*),,
17h45m39.04s -29d00m41.01s,1.6654,137.4731,Spacetime Curvature Limit (Black Hole),0.59,MATCH: [FNS2015] 670 (*),,
17h45m41.92s -28d59m35.79s,0.2428,139.1198,Gasious Substrate Schema,4.23,MATCH: CXOU J174541.6-285933 (X),,
17h45m41.41s -29d00m32.27s,0.2694,122.8355,Gasious Substrate Schema,1.09,MATCH: [FNS2015] 105 (*),,
17h45m42.43s -29d01m15.72s,0.2073,45.4569,Minkowskian Baseline,7.7,MATCH: [BSD96] 194 (*),,
17h45m35.93s -29d00m11.69s,0.2684,15.1838,Gasious Substrate Schema,4.04,MATCH: [NS2013] 56 (*),,
17h45m40.98s -29d00m14.80s,0.3022,67.5056,Localized Torsional Inflection,0.48,MATCH: CXOGC J174541.0-290014 (X),,
17h45m43.34s -29d00m24.98s,0.2408,78.0128,Gasious Substrate Schema,1.11,MATCH: JCMTSF J174543.5-290020 (Rad),,
17h45m34.63s -29d00m40.03s,0.2712,6.632,Gasious Substrate Schema,0.18,MATCH: CXOGC J174534.6-290039 (X),,
17h45m41.43s -29d00m23.69s,0.2186,80.9687,Minkowskian Baseline,0.27,MATCH: [YRW2015] P36 (Rad),,
17h45m38.49s -29d01m08.40s,0.2304,111.4021,Gasious Substrate Schema,2.01,MATCH: CXOGC J174538.6-290107 (X),,
17h45m40.61s -29d00m12.36s,0.2858,108.5861,Solenoidal Metric Schema (Iron),1.2,MATCH: [FNS2015] 1271 (*),,
17h45m35.17s -29d00m36.37s,0.2798,15.0194,Gasious Substrate Schema,5.54,MATCH: CXOGC J174534.8-290040 (X),,
17h45m42.25s -29d00m19.71s,0.2672,18.8647,Gasious Substrate Schema,0.16,MATCH: [FNS2015] 449 (*),,
17h45m38.93s -29d01m44.19s,0.3706,224.0891,Trefoil Metric Schema,2.5,MATCH: NAME IGR J17456-2901b (gam),,
17h45m43.66s -29d00m19.72s,0.2109,15.157,Minkowskian Baseline,2.45,MATCH: [BSD96] 139 (*),,
17h45m34.84s -29d00m38.23s,0.369,67.771,Trefoil Metric Schema,2.23,MATCH: CXOGC J174534.8-290040 (X),,
17h45m37.81s -28d59m27.38s,0.2566,50.8905,Gasious Substrate Schema,0.38,MATCH: CXOGC J174537.8-285927 (X),,
17h45m38.68s -29d00m10.26s,0.43,31.0037,Trefoil Metric Schema,2.67,MATCH: CXOGC J174538.8-290008 (X),,
17h45m36.59s -28d59m37.07s,0.3037,47.4998,Solenoidal Metric Schema (Iron),7.64,MATCH: CXOGC J174536.1-285942 (X),,
17h45m41.61s -29d00m31.95s,0.3005,42.5278,Solenoidal Metric Schema (Iron),0.87,MATCH: [FNS2015] 362 (*),,
17h45m38.07s -29d01m21.36s,0.428,121.1125,Localized Torsional Inflection,3.59,MATCH: [FJ95] 35 (*),,
17h45m37.50s -28d59m38.79s,0.6145,24.551,Metric Spacetime Anomaly,7.13,MATCH: [DFM2002] 12 (Mas),,
17h45m37.69s -29d00m44.17s,0.2995,5.5722,Solenoidal Metric Schema (Iron),0.53,MATCH: [FNS2015] 1127 (*),,
17h45m40.19s -29d01m16.38s,0.2683,212.0391,Gasious Substrate Schema,7.01,MATCH: CXOGC J174540.7-290115 (X),,
17h45m40.24s -28d59m55.78s,0.9371,27.3138,Baryonic Metric Substrate,0.87,MATCH: [FNS2015] 2657 (*),,
17h45m37.77s -28d59m58.84s,1.0215,87.7889,Baryonic Metric Substrate,3.26,MATCH: CXOU J174537.7-290002 (X),,
17h45m38.79s -29d00m06.18s,0.234,14.9046,Gasious Substrate Schema,1.92,MATCH: CXOGC J174538.8-290008 (X),,
17h45m40.53s -29d00m43.24s,0.2377,51.3959,Gasious Substrate Schema,1.03,MATCH: [FNS2015] 475 (*),,
17h45m35.14s -29d00m49.52s,0.5401,176.1161,Metric Spacetime Anomaly,1.66,MATCH: CXOGC J174535.2-290048 (X),,
17h45m42.32s -29d01m30.66s,0.2225,105.0937,Gasious Substrate Schema,1.79,MATCH: CXOGC J174542.2-290132 (X),,
17h45m37.64s -29d01m14.13s,0.2304,5.5784,Gasious Substrate Schema,1.9,MATCH: [MKN2009] 601 (LP*),,
17h45m43.78s -29d00m26.32s,0.3363,54.5492,Helical Metric Schema,0.55,MATCH: MPE -1.4-02.8 (*),,
17h45m41.29s -29d00m05.73s,0.2638,122.0478,Gasious Substrate Schema,0.45,MATCH: [FNS2015] 492 (*),,
17h45m38.58s -28d59m32.83s,0.5903,199.4897,Metric Spacetime Anomaly,4.59,MATCH: SSTGC 520361 (LP*),,
17h45m44.45s -29d00m09.62s,0.3623,26.2811,Trefoil Metric Schema,2.69,MATCH: [BSD96] 212 (*),,
17h45m39.85s -29d01m27.75s,0.3734,25.7172,Trefoil Metric Schema,2.16,MATCH: [FJ95] 10 (*),,
17h45m34.76s -28d59m49.07s,0.1788,112.3795,Minkowskian Baseline,2.9,MATCH: CXOGC J174534.4-285951 (X),,
17h45m37.66s -29d00m20.28s,0.276,2.2627,Gasious Substrate Schema,1.43,MATCH: [FJ95] 25 (*),,
17h45m45.13s -29d00m43.60s,0.3114,160.5452,Solenoidal Metric Schema (Iron),4.47,MATCH: 2MASS J17454524-2900477 (LP*),,
17h45m44.73s -28d59m54.22s,0.2006,251.1478,Minkowskian Baseline,1.38,MATCH: CXOU J174544.8-285953 (X),,
17h45m41.75s -29d00m43.14s,0.226,28.6292,Gasious Substrate Schema,1.86,MATCH: CXOU J174541.8-290042 (X),,
17h45m37.02s -29d00m01.78s,0.2363,462.7961,Localized Torsional Inflection,5.9,MATCH: CXOGC J174537.0-285955 (X),,
17h45m41.47s -29d01m11.33s,0.2366,130.6057,Gasious Substrate Schema,3.69,MATCH: [NS2013] 49 (*),,
17h45m43.59s -29d00m51.74s,0.2229,162.6499,Gasious Substrate Schema,4.93,MATCH: CXOGC J174543.4-290056 (X),,
17h45m42.56s -29d00m00.17s,0.2545,84.0174,Gasious Substrate Schema,3.14,MATCH: GCIRS 23 (OH*),,
17h45m42.97s -29d00m34.91s,0.4998,12.5849,Metric Spacetime Anomaly,5.11,MATCH: [MES2007] X1 (flt),,
17h45m37.25s -29d01m27.69s,0.2878,119.1401,Solenoidal Metric Schema (Iron),1.59,MATCH: CXOGC J174537.2-290126 (X),,
17h45m37.65s -29d01m31.10s,0.2515,205.5297,Gasious Substrate Schema,2.03,MATCH: CXOGC J174537.7-290130 (X),,
17h45m44.60s -29d00m57.29s,0.2683,62.4233,Gasious Substrate Schema,1.9,MATCH: [BSD96] 213 (*),,
17h45m40.68s -29d00m20.47s,0.2133,68.5978,Minkowskian Baseline,0.25,MATCH: [GKM98] S11-67 (*),,
17h45m38.74s -29d00m10.95s,1.5191,164.4437,Spacetime Curvature Limit (Black Hole),1.91,MATCH: [BSD96]  16 (*),,
17h45m39.33s -28d59m36.84s,0.2858,23.5473,Solenoidal Metric Schema (Iron),1.8,MATCH: CXOGC J174539.4-285938 (X),,
17h45m37.35s -29d01m08.83s,0.5492,201.0754,Localized Torsional Inflection,0.68,MATCH: [FJ95] 22 (*),,
17h45m44.24s -29d00m10.97s,0.2021,88.0293,Minkowskian Baseline,4.07,MATCH: [BSD96] 210 (*),,
17h45m43.64s -29d00m56.71s,0.279,78.069,Gasious Substrate Schema,2.8,MATCH: CXOGC J174543.4-290056 (X),,
17h45m43.37s -29d00m23.08s,0.3673,95.3421,Trefoil Metric Schema,1.3,MATCH: JCMTSF J174543.5-290020 (Rad),,
17h45m44.25s -29d00m41.51s,0.3731,572.68,Localized Torsional Inflection,3.92,MATCH: CXOGC J174544.0-290038 (X),,
17h45m35.15s -29d00m52.38s,0.4188,107.6748,Trefoil Metric Schema,2.85,MATCH: [FJ95] 28 (*),,
17h45m38.61s -29d00m11.44s,0.3023,133.5067,Solenoidal Metric Schema (Iron),2.25,MATCH: [BSD96]  16 (*),,
17h45m42.12s -29d00m12.66s,0.2483,54.9676,Gasious Substrate Schema,0.86,MATCH: [FNS2015] 2181 (*),,
17h45m40.37s -28d59m37.45s,0.1953,180.8737,Minkowskian Baseline,4.03,MATCH: OH 359.955-00.040 (Mas),,
17h45m42.95s -29d00m15.35s,0.2559,35.5415,Gasious Substrate Schema,2.28,MATCH: [BSD96] 132 (*),,
17h45m37.26s -29d00m34.54s,0.8016,67.4186,Baryonic Metric Substrate,2.15,MATCH: [FJ95] 13 (*),,
17h45m36.90s -29d01m33.99s,0.2245,57.9856,Gasious Substrate Schema,1.62,MATCH: CXOGC J174536.8-290135 (X),,
17h45m35.44s -29d00m47.55s,0.2207,121.4225,Gasious Substrate Schema,2.61,MATCH: 2MASS J17453563-2900475 (*),,
17h45m38.05s -29d00m33.71s,0.2378,51.4503,Gasious Substrate Schema,0.75,MATCH: [FNS2015] 379 (*),,
17h45m42.59s -29d01m08.97s,0.2586,233.9359,Gasious Substrate Schema,5.43,MATCH: [BSD96] 202 (*),,
17h45m40.00s -29d00m44.78s,0.2441,91.8167,Gasious Substrate Schema,0.53,MATCH: [FNS2015] 1050 (*),,
17h45m35.17s -29d01m01.08s,0.3715,50.6377,Trefoil Metric Schema,1.63,MATCH: CXOGC J174535.1-290102 (X),,
17h45m34.54s -29d00m16.38s,0.3693,257.3003,Trefoil Metric Schema,0.4,MATCH: CXOGC J174534.5-290016 (X),,
17h45m38.33s -29d01m11.59s,0.1994,21.2331,Minkowskian Baseline,2.57,MATCH: CXOGC J174538.1-290112 (X),,
17h45m37.29s -29d00m48.32s,0.2121,10.1947,Minkowskian Baseline,1.74,MATCH: CXOGC J174537.2-290049 (X),,
17h45m39.44s -29d00m14.46s,0.3631,11.618,Trefoil Metric Schema,0.8,MATCH: GCIRS 11 (*),,
17h45m40.54s -29d00m11.00s,1.4697,6.1756,Metric Spacetime Anomaly,0.54,MATCH: [FNS2015] 1271 (*),,
17h45m43.30s -29d00m27.01s,0.4849,144.3279,Metric Spacetime Anomaly,2.52,MATCH: [BSD96] 206 (*),,
17h45m39.70s -29d00m27.82s,0.267,80.7324,Gasious Substrate Schema,0.6,MATCH: [GKM98] S3-390 (*),,
17h45m43.16s -29d00m43.34s,0.2202,221.5897,Gasious Substrate Schema,3.31,MATCH: UGPS J174543.01-290046.0 (*),,
17h45m37.78s -29d00m13.60s,0.2759,90.2505,Gasious Substrate Schema,1.39,MATCH: [FJ95] 41 (*),,
17h45m38.88s -29d00m58.65s,0.3212,3.6948,Helical Metric Schema,0.49,MATCH: [FNS2015] 1509 (*),,
17h45m43.04s -28d59m59.19s,0.2258,12.6179,Gasious Substrate Schema,4.65,MATCH: GCIRS 23 (OH*),,
17h45m37.84s -29d00m47.51s,0.2752,23.0413,Gasious Substrate Schema,1.36,MATCH: [FJ95] 37 (*),,
17h45m41.28s -29d01m34.34s,0.346,93.195,Helical Metric Schema,4.05,MATCH: CXOU J174541.4-290137 (X),,
17h45m40.64s -28d59m37.47s,0.4873,25.1502,Metric Spacetime Anomaly,5.27,MATCH: CXOGC J174541.0-285936 (X),,
17h45m36.06s -29d01m12.95s,0.3187,321.9448,Solenoidal Metric Schema (Iron),4.35,MATCH: CXOGC J174536.3-290111 (X),,
17h45m39.25s -28d59m57.77s,0.3896,120.2873,Trefoil Metric Schema,2.42,MATCH: CXOGC J174539.3-290000 (X),,
17h45m40.94s -29d00m44.25s,0.2505,183.361,Gasious Substrate Schema,0.7,MATCH: [FNS2015] 3041 (*),,
17h45m36.01s -29d01m08.65s,0.3231,144.2867,Helical Metric Schema,1.82,MATCH: [YRW2013] 37 (out),,
17h45m39.65s -29d01m00.37s,0.2367,127.8468,Gasious Substrate Schema,0.65,MATCH: [FNS2015] 632 (*),,
17h45m42.05s -29d00m09.77s,0.3166,130.9845,Solenoidal Metric Schema (Iron),0.47,MATCH: [FNS2015] 2388 (*),,
17h45m37.78s -28d59m33.87s,0.4441,97.0527,Trefoil Metric Schema,3.59,MATCH: [DFM2002] 12 (Mas),,
17h45m37.21s -28d59m27.57s,1.4314,3.0657,Metric Spacetime Anomaly,1.08,MATCH: CXOGC J174537.2-285926 (X),,
17h45m38.95s -28d59m30.24s,0.2947,9.6951,Solenoidal Metric Schema (Iron),1.66,MATCH: CXOGC J174539.0-285929 (X),,
17h45m37.31s -29d00m45.11s,0.3943,20.8895,Trefoil Metric Schema,1.09,MATCH: [GMC2001]  3-270 (Mi*),,
17h45m36.52s -29d01m12.08s,0.3881,193.8051,Trefoil Metric Schema,2.08,MATCH: CXOGC J174536.3-290111 (X),,
17h45m40.46s -29d00m01.14s,0.4806,147.6146,Metric Spacetime Anomaly,1.01,MATCH: [FNS2015] 771 (*),,
17h45m35.81s -29d00m09.83s,0.4545,156.1848,Metric Spacetime Anomaly,3.25,MATCH: [NS2013] 56 (*),,
17h45m45.12s -29d00m42.17s,0.4002,300.388,Trefoil Metric Schema,5.87,MATCH: 2MASS J17454524-2900477 (LP*),,
17h45m40.15s -29d00m50.51s,1.2473,19.9867,Metric Spacetime Anomaly,0.22,MATCH: [FNS2015] 434 (*),,
17h45m34.73s -29d00m14.89s,0.2534,63.5441,Gasious Substrate Schema,2.53,MATCH: CXOGC J174534.5-290016 (X),,
17h45m37.19s -29d00m26.76s,0.1853,143.9846,Minkowskian Baseline,2.77,MATCH: CXOGC J174537.3-290028 (X),,
17h45m37.01s -29d01m10.62s,0.191,61.0505,Minkowskian Baseline,0.13,MATCH: CXOGC J174537.0-290110 (X),,
17h45m37.79s -29d00m49.36s,0.182,240.6523,Minkowskian Baseline,0.27,MATCH: [FNS2015] 376 (*),,
17h45m41.66s -29d00m37.05s,0.2355,26.2586,Gasious Substrate Schema,1.73,MATCH: [FNS2015] 3241 (*),,
17h45m42.88s -29d00m18.72s,0.2203,160.5539,Gasious Substrate Schema,0.26,MATCH: [BSD96] 201 (*),,
17h45m43.37s -29d00m49.46s,0.2487,237.3376,Gasious Substrate Schema,2.84,MATCH: 2MASS J17454315-2900500 (LP*),,
17h45m40.98s -29d00m02.86s,0.2419,107.232,Gasious Substrate Schema,1.71,MATCH: [FNS2015] 2860 (*),,
17h45m39.72s -29d00m46.90s,0.2062,170.5866,Minkowskian Baseline,1.32,MATCH: [FNS2015] 945 (*),,
17h45m37.75s -29d00m52.38s,0.3544,2.3732,Helical Metric Schema,2.84,MATCH: [FNS2015] 1887 (*),,
17h45m40.46s -29d00m59.18s,0.7004,47.1134,Metric Spacetime Anomaly,2,MATCH: [FNS2015] 889 (*),,
17h45m36.19s -29d00m18.73s,0.2386,357.046,Gasious Substrate Schema,3.31,MATCH: [FJ95] 39 (*),,
17h45m43.29s -29d00m48.27s,0.5847,28.4066,Metric Spacetime Anomaly,2.49,MATCH: 2MASS J17454315-2900500 (LP*),,
17h45m43.04s -29d00m57.60s,0.9709,2.5173,Baryonic Metric Substrate,4.43,MATCH: CXOGC J174543.1-290053 (X),,
17h45m39.54s -29d00m01.88s,0.6048,56.9896,Metric Spacetime Anomaly,1.24,MATCH: [FNS2015] 1530 (*),,
17h45m39.92s -29d00m21.51s,0.4425,103.0133,Trefoil Metric Schema,0.34,MATCH: [GKM98] S6-136 (*),,
17h45m36.14s -28d59m47.76s,0.2068,29.0822,Minkowskian Baseline,4.06,MATCH: SSTGC 514262 (LP*),,
17h45m42.57s -29d00m51.81s,0.6951,274.7603,Metric Spacetime Anomaly,2.5,MATCH: CXOGC J174542.5-290049 (X),,
17h45m44.34s -29d00m29.54s,0.2671,42.6591,Gasious Substrate Schema,4.28,MATCH: [PDT2018] G359.953-00.059 (smm),,
17h45m36.54s -28d59m54.70s,1.0382,10.9313,Baryonic Metric Substrate,0.48,MATCH: CXOGC J174536.5-285954 (X),,
17h45m43.31s -29d01m15.19s,0.3118,99.3778,Solenoidal Metric Schema (Iron),1.92,MATCH: [MRR94] 20 (*),,
17h45m37.79s -29d01m09.36s,0.39,12.0845,Trefoil Metric Schema,0.75,MATCH: [BSD96] 160 (*),,
17h45m44.08s -29d00m16.56s,0.2028,39.4113,Minkowskian Baseline,1.96,MATCH: [BSD96] 210 (*),,
17h45m36.68s -29d00m11.76s,1.0217,1.6217,Baryonic Metric Substrate,1.59,MATCH: [NS2013] 50 (*),,
17h45m39.29s -29d00m43.93s,0.3727,10.3224,Trefoil Metric Schema,0.4,MATCH: [FNS2015] 652 (*),,
17h45m41.72s -29d00m10.41s,0.1913,21.6262,Minkowskian Baseline,0.26,MATCH: [FNS2015] 1009 (*),,
17h45m41.79s -29d00m06.47s,1.5636,74.8664,Spacetime Curvature Limit (Black Hole),1.84,MATCH: [BSD96] 121 (*),,
17h45m39.82s -29d00m06.51s,0.2796,3.6281,Gasious Substrate Schema,0.23,MATCH: [FNS2015] 1281 (*),,
17h45m39.52s -29d00m38.34s,0.2041,25.8049,Minkowskian Baseline,0.18,MATCH: [FNS2015] 964 (*),,
17h45m40.37s -29d00m06.29s,0.2166,66.146,Minkowskian Baseline,0.79,MATCH: [FNS2015] 2198 (*),,
17h45m40.64s -28d59m42.34s,0.3813,73.4946,Trefoil Metric Schema,2.19,MATCH: [NS2013] 48 (*),,
17h45m41.11s -29d01m30.60s,0.1608,588.6776,Minkowskian Baseline,1.2,MATCH: [FJ95]  8 (*),,
17h45m43.19s -28d59m59.76s,0.5224,39.2617,Metric Spacetime Anomaly,4.64,MATCH: [MBB2008] G359.956-0.052 (X),,
17h45m41.87s -29d00m53.16s,0.405,250.844,Trefoil Metric Schema,2.49,MATCH: CXOGC J174541.7-290054 (X),,
17h45m37.41s -29d01m39.43s,0.3706,2.987,Trefoil Metric Schema,2.14,MATCH: CXOGC J174537.2-290139 (X),,
