SECTOR F,Fermi Bubbles,,,,,ANALYSIS,
Regime,Count,Description,,,,,
F. Fermi Bubbles,10,Fermi Bubbles,,,,Cumulative,
Target Coordinate,RA,DEC,start_xyz,search_radius,Type,Closest OFFSET,0.02
17h45m38.96s -29d00m58.39s,0.2461,66.8931,Gasious Substrate Schema,0.32,MATCH: 2MASS J17453893-2900584 (*),,
17h45m39.56s -28d59m36.70s,0.2828,55.8362,Solenoidal Metric Schema (Iron),1.55,MATCH: SSTGC 523937 (LP*),,
17h45m37.75s -29d00m48.24s,0.462,120.855,Metric Spacetime Anomaly,0.7,MATCH: [FNS2015] 606 (*),,
17h45m44.27s -28d59m59.50s,0.3977,0.439,Trefoil Metric Schema,2.41,MATCH: CXOGC J174544.4-290001 (X),,
17h45m44.83s -29d00m09.65s,0.4268,32.7158,Trefoil Metric Schema,0.3,MATCH: [BSD96] 214 (*),,
17h45m42.75s -29d00m01.71s,0.3825,7.5908,Trefoil Metric Schema,4.08,MATCH: GCIRS 23 (OH*),,
17h45m39.51s -28d59m45.01s,0.3083,27.2164,Solenoidal Metric Schema (Iron),2.18,MATCH: [BSD96] 176 (*),,
17h45m37.15s -29d01m32.11s,0.5235,76.5426,Metric Spacetime Anomaly,4.88,MATCH: CXOGC J174536.8-290135 (X),,
17h45m37.25s -29d00m00.34s,0.2743,75.2451,Gasious Substrate Schema,5.09,MATCH: CXOGC J174537.0-285955 (X),,
17h45m39.20s -28d59m54.02s,0.6253,80.6732,Metric Spacetime Anomaly,3.18,MATCH: CXOGC J174539.0-285956 (X),,
17h45m39.99s -28d59m28.66s,0.4333,3.4921,Trefoil Metric Schema,2.14,MATCH: [FJ95] 47 (*),,
17h45m37.69s -29d01m28.87s,0.3093,0.5483,Solenoidal Metric Schema (Iron),2.25,MATCH: CXOGC J174537.7-290130 (X),,
17h45m35.36s -29d00m04.67s,0.1492,277.0822,Minkowskian Baseline,3.3,MATCH: SSTGC 512700 (Mi*),,
17h45m39.37s -28d59m29.52s,0.2485,1.6732,Gasious Substrate Schema,3.94,MATCH: CXOGC J174539.0-285929 (X),,
17h45m38.52s -29d00m43.75s,0.4375,31.4914,Trefoil Metric Schema,1.39,MATCH: CXOU J174538.4-290044 (X),,
17h45m42.15s -29d01m03.18s,0.2424,24.9407,Gasious Substrate Schema,2.86,MATCH: [BSD96] 199 (*),,
17h45m35.91s -28d59m39.95s,0.5567,127.7117,Metric Spacetime Anomaly,3.86,MATCH: [MES2015] 1359 (smm),,
17h45m37.09s -28d59m52.81s,0.3845,51.4024,Localized Torsional Inflection,3.11,MATCH: CXOGC J174537.0-285955 (X),,
17h45m36.22s -29d00m32.44s,0.3329,40.147,Helical Metric Schema,2.26,MATCH: CXOGC J174536.3-290030 (X),,
17h45m39.80s -28d59m58.17s,0.2449,14.7322,Gasious Substrate Schema,0.89,MATCH: [FNS2015] 1908 (*),,
17h45m38.90s -29d00m31.17s,0.1828,239.6451,Minkowskian Baseline,0.3,MATCH: [FNS2015] 1614 (*),,
17h45m42.88s -29d01m05.08s,0.227,23.678,Gasious Substrate Schema,0.02,MATCH: [BSD96] 202 (*),,
