SECTOR A,,,,,,ANALYSIS,,,,,,,,,
TA1,,,,,,,,,,,,,,,
--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---,,,,,,Cumulative,,,,,,,,,
--- IMAGE REDIRECT ACTIVE ---,,,,,,Closest OFFSET,0.02,,,,,,,,
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,Average OFFSET,53.3187509,,,,,,,,
"Target: RA 17.761, DEC -29.008",,,,,,Max OFFSET,294.59,,,,,,,,
Depth: 26000 XYZ,Radius: 10,,,,,Number of Close Matches(OFFSET < 1 arcsecond),846,,,,,,,,
Scanning Volume... Sampling 418 points.,,,,,,No SIMBAD Match,422,,,,,,,,
Structure Detected: 418 metric nodes.,,,,,,Accuracy Rate,97.74%,Standard Distribution ,2.770341059,Coefficient of Variation,70.43836306,, ,,
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,,,,,,,,,,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,Structure Type,Count,Average offset by Structure Type,Coefficient of Variation by type,Standard Distribution by type,,Lens Candiate,Tag,Predictied Identity,KEY
19h15m09.39s +10d56m32.33s,0.2779,3.1451,Gasious Substrate Schema,28.19,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m11.66s +10d56m20.25s,0.2421,37.2295,Gasious Substrate Schema,9.26,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m08.86s +10d56m45.59s,0.1851,267.6,Minkowskian Baseline,25.67,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m12.22s +10d56m56.43s,0.2644,97.2224,Gasious Substrate Schema,15.12,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
19h15m12.15s +10d57m30.80s,0.4583,196.7961,Metric Spacetime Anomaly,15.97,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
19h15m10.39s +10d56m31.09s,0.2616,107.5311,Gasious Substrate Schema,13.52,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m08.49s +10d56m24.02s,0.3,107.0381,Solenoidal Metric Schema (Iron),41.2,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
19h15m13.98s +10d56m23.58s,0.2871,318.0797,Localized Torsional Inflection,40.01,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
19h15m12.71s +10d57m04.29s,0.8701,15.2286,Baryonic Metric Substrate,25.78,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Baryonic Metric Substrate,
19h15m09.24s +10d57m08.87s,0.2613,31.2963,Gasious Substrate Schema,2.69,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m11.40s +10d56m08.02s,0.6186,160.3768,Metric Spacetime Anomaly,19.65,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
19h15m10.12s +10d57m13.95s,0.3029,116.4649,Solenoidal Metric Schema (Iron),14.95,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m08.62s +10d56m34.87s,0.3543,7.3106,Helical Metric Schema,36.85,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
19h15m10.28s +10d56m54.45s,0.7179,46.0695,Metric Spacetime Anomaly,21.07,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
19h15m10.05s +10d56m28.00s,0.6851,92.1456,Metric Spacetime Anomaly,18.08,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
19h15m12.27s +10d56m51.80s,1.1964,255.7322,Baryonic Metric Substrate,12.58,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Baryonic Metric Substrate,
19h15m12.49s +10d55m35.65s,0.6094,7.6082,Metric Spacetime Anomaly,14.26,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
19h15m14.97s +10d56m22.72s,1.7688,266.4081,Spacetime Curvature Limit (Black Hole),54.61,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Spacetime Curvature Limit (Black Hole),
19h15m11.54s +10d57m41.38s,0.3904,27.7272,Trefoil Metric Schema,8.87,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
19h15m10.16s +10d56m13.34s,0.5229,82.6727,Metric Spacetime Anomaly,21.76,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
19h15m12.27s +10d57m09.09s,0.2474,107.6576,Gasious Substrate Schema,26.37,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
19h15m08.59s +10d57m21.37s,0.4692,160.4528,Metric Spacetime Anomaly,13.06,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
19h15m09.56s +10d55m47.75s,0.4014,46.3402,Trefoil Metric Schema,34.08,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
19h15m11.22s +10d56m18.26s,0.2098,74.145,Minkowskian Baseline,9.37,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
19h15m08.56s +10d56m27.54s,0.3419,2.2648,Helical Metric Schema,40.01,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
19h15m15.06s +10d56m54.03s,0.1937,107.9921,Minkowskian Baseline,52.41,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
19h15m12.04s +10d56m58.22s,0.3899,24.399,Trefoil Metric Schema,15.1,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
19h15m13.40s +10d56m57.79s,0.2784,93.138,Localized Torsional Inflection,30.06,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Localized Torsional Inflection,
19h15m12.23s +10d57m39.68s,0.2406,60.2021,Gasious Substrate Schema,7.61,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m12.47s +10d56m03.99s,0.3466,2.9573,Helical Metric Schema,19.46,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
19h15m08.57s +10d56m16.60s,0.4387,7.2204,Trefoil Metric Schema,41.34,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
19h15m12.21s +10d56m25.56s,0.4324,0.7465,Trefoil Metric Schema,13.89,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
19h15m11.09s +10d56m16.40s,0.2179,109.8476,Minkowskian Baseline,11.52,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
19h15m13.40s +10d56m22.51s,0.1848,156.3653,Minkowskian Baseline,31.68,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
19h15m11.94s +10d57m51.31s,0.3621,37.0656,Trefoil Metric Schema,4.81,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
19h15m08.88s +10d56m03.12s,0.2543,51.0523,Gasious Substrate Schema,42.95,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m15.02s +10d57m14.41s,0.2855,0.6356,Solenoidal Metric Schema (Iron),54.65,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m11.09s +10d57m02.65s,0.2645,0.3861,Gasious Substrate Schema,19.02,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
19h15m07.31s +10d56m13.34s,0.2133,100.4898,Minkowskian Baseline,22.55,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m08.81s +10d56m09.90s,0.2122,99.604,Minkowskian Baseline,40.41,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
19h15m11.07s +10d56m34.05s,0.2238,93.9443,Gasious Substrate Schema,7.14,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m06.08s +10d56m56.07s,0.6556,257.6018,Metric Spacetime Anomaly,29.96,MATCH: 2MASS J19150517+1057227 (LP?),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
19h15m11.24s +10d56m18.83s,0.2947,29.1059,Solenoidal Metric Schema (Iron),8.78,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
19h15m11.73s +10d57m23.55s,0.2215,98.3394,Gasious Substrate Schema,23.52,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m12.01s +10d55m55.91s,0.6723,268.2717,Metric Spacetime Anomaly,9.5,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
19h15m14.64s +10d56m04.14s,0.5642,251.9832,Metric Spacetime Anomaly,44.36,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
19h15m12.07s +10d57m04.63s,1.3467,116.9644,Metric Spacetime Anomaly,21.13,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
19h15m13.80s +10d56m16.18s,0.4024,27.2607,Trefoil Metric Schema,38.87,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
19h15m12.17s +10d56m30.63s,0.2682,19.9629,Gasious Substrate Schema,13.5,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m14.25s +10d56m13.29s,0.2347,121.7044,Gasious Substrate Schema,44.01,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m10.67s +10d56m37.16s,0.2467,37.0425,Gasious Substrate Schema,13.1,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m10.14s +10d55m50.33s,0.1623,402.481,Minkowskian Baseline,25.78,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m11.75s +10d56m17.16s,0.5993,99.3811,Metric Spacetime Anomaly,12.54,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
19h15m09.09s +10d55m48.82s,0.1899,76.6653,Minkowskian Baseline,41.04,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m12.33s +10d56m09.84s,0.449,33.4353,Trefoil Metric Schema,23.57,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
19h15m10.08s +10d56m39.39s,0.2138,23.9416,Minkowskian Baseline,21.21,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
19h15m15.69s +10d56m57.01s,0.2623,23.6072,Gasious Substrate Schema,62.08,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
19h15m13.90s +10d57m13.36s,0.2535,5.3889,Gasious Substrate Schema,43.27,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m12.24s +10d57m02.11s,0.7601,13.835,Metric Spacetime Anomaly,19.94,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
19h15m11.85s +10d56m16.72s,0.1588,83.4802,Minkowskian Baseline,13.76,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
19h15m07.00s +10d56m14.04s,0.2283,9.6408,Gasious Substrate Schema,18.45,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m10.41s +10d57m23.90s,0.2131,49.4606,Minkowskian Baseline,22.92,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m09.78s +10d56m16.30s,0.3092,16.5431,Solenoidal Metric Schema (Iron),24.77,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
19h15m08.18s +10d56m16.15s,0.4129,57.0562,Trefoil Metric Schema,35.65,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
19h15m06.57s +10d56m55.11s,0.1846,245.1823,Minkowskian Baseline,34.64,MATCH: 2MASS J19150517+1057227 (LP?),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m12.92s +10d55m51.89s,0.2454,3.4003,Gasious Substrate Schema,16.3,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m13.82s +10d55m48.11s,0.2325,177.1887,Gasious Substrate Schema,28.72,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m09.36s +10d56m22.15s,0.9807,129.3052,Localized Torsional Inflection,28.75,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
19h15m07.73s +10d56m52.17s,0.3877,53.4412,Trefoil Metric Schema,27.84,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
19h15m14.56s +10d56m41.99s,0.1859,36.9027,Minkowskian Baseline,44.34,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
19h15m09.36s +10d56m21.59s,0.2505,273.6411,Gasious Substrate Schema,28.86,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m09.72s +10d56m31.36s,0.4095,61.994,Trefoil Metric Schema,23.24,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
19h15m10.06s +10d57m24.94s,0.2088,154.3841,Minkowskian Baseline,19.62,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m09.93s +10d57m03.11s,0.284,50.3653,Solenoidal Metric Schema (Iron),14.21,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m09.64s +10d56m19.63s,0.3608,35.0254,Trefoil Metric Schema,25.39,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
19h15m08.62s +10d56m31.14s,0.2845,65.5551,Solenoidal Metric Schema (Iron),39.29,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
19h15m12.64s +10d57m25.16s,0.39,333.127,Localized Torsional Inflection,23.34,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
19h15m12.25s +10d55m43.91s,0.2373,223.3484,Gasious Substrate Schema,6.19,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m13.32s +10d55m42.30s,0.2054,17.7998,Minkowskian Baseline,21.75,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m11.40s +10d56m49.19s,0.2045,327.9846,Minkowskian Baseline,4.86,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
19h15m14.91s +10d56m12.54s,0.2409,58.9756,Gasious Substrate Schema,51.7,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m12.03s +10d56m03.43s,0.2052,89.1333,Minkowskian Baseline,16.96,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m10.14s +10d56m29.93s,0.2487,55.8074,Gasious Substrate Schema,16.91,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m12.46s +10d57m25.68s,0.1867,393.1883,Minkowskian Baseline,21.94,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m10.42s +10d55m40.43s,0.3006,145.8038,Solenoidal Metric Schema (Iron),22.27,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m14.60s +10d56m27.03s,0.2742,40.2817,Gasious Substrate Schema,48.27,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
19h15m12.53s +10d56m26.05s,0.7103,301.476,Metric Spacetime Anomaly,18.52,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
19h15m12.27s +10d56m58.97s,0.4484,84.4922,Trefoil Metric Schema,17.56,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
19h15m10.66s +10d57m04.79s,0.3521,92.9535,Helical Metric Schema,23.43,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
19h15m13.02s +10d56m07.32s,0.2059,137.9003,Minkowskian Baseline,26.71,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m13.12s +10d56m23.92s,0.3223,101.9692,Helical Metric Schema,27.39,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
19h15m08.82s +10d55m51.26s,0.4718,195.8123,Localized Torsional Inflection,45.2,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
19h15m15.15s +10d56m58.00s,0.2995,28.8719,Solenoidal Metric Schema (Iron),54.53,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
19h15m11.72s +10d56m55.71s,0.2746,105.775,Gasious Substrate Schema,11.07,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
19h15m12.91s +10d55m40.04s,0.2975,155.0904,Localized Torsional Inflection,16.64,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
19h15m10.87s +10d56m26.16s,0.4247,10.9929,Trefoil Metric Schema,6.16,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
19h15m08.40s +10d56m52.67s,0.4328,57.1472,Localized Torsional Inflection,21.18,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
19h15m10.03s +10d57m38.25s,0.4564,30.434,Metric Spacetime Anomaly,30.37,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
19h15m11.82s +10d56m50.14s,0.2408,133.1957,Gasious Substrate Schema,6.52,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
19h15m07.89s +10d56m48.74s,0.2169,20.4218,Minkowskian Baseline,28.71,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m12.20s +10d56m53.99s,0.2412,32.0103,Gasious Substrate Schema,13.14,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
19h15m12.77s +10d56m09.62s,1.1865,20.9446,Baryonic Metric Substrate,26.52,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Baryonic Metric Substrate,
19h15m10.65s +10d56m35.54s,0.3161,19.0893,Solenoidal Metric Schema (Iron),12.18,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
19h15m08.76s +10d57m14.44s,0.2383,38.2262,Gasious Substrate Schema,6.41,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m12.73s +10d57m45.04s,0.2529,122.4381,Gasious Substrate Schema,10.52,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m11.42s +10d56m51.26s,0.1942,104.3447,Minkowskian Baseline,6.66,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
19h15m09.99s +10d57m43.56s,0.2257,18.8616,Gasious Substrate Schema,30.12,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m09.80s +10d57m27.55s,0.3282,44.2766,Helical Metric Schema,19.34,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
19h15m13.46s +10d57m19.16s,0.2966,11.3965,Solenoidal Metric Schema (Iron),34.69,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m08.20s +10d56m42.06s,0.2036,59.9586,Minkowskian Baseline,31.95,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m11.87s +10d57m32.22s,0.2036,212.8698,Minkowskian Baseline,14.62,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m07.99s +10d56m51.86s,0.2936,97.8782,Solenoidal Metric Schema (Iron),25.38,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m12.37s +10d57m20.08s,0.1991,64.1706,Minkowskian Baseline,27.07,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m12.75s +10d56m33.45s,0.4325,93.8981,Trefoil Metric Schema,20.99,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
19h15m09.33s +10d56m50.58s,0.2412,41.2041,Gasious Substrate Schema,20.6,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m11.43s +10d55m56.80s,0.245,15.5994,Gasious Substrate Schema,12.08,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m09.18s +10d56m11.59s,0.2117,42.8326,Minkowskian Baseline,34.78,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
19h15m12.17s +10d56m51.02s,0.2891,113.062,Solenoidal Metric Schema (Iron),10.92,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
19h15m12.71s +10d57m39.12s,0.2678,219.8108,Gasious Substrate Schema,12.6,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m14.15s +10d56m31.44s,0.6289,50.3161,Metric Spacetime Anomaly,40.51,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
19h15m15.36s +10d56m22.56s,0.2732,101.8062,Gasious Substrate Schema,60.32,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
19h15m11.46s +10d55m39.00s,0.9842,166.2114,Baryonic Metric Substrate,9.76,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Baryonic Metric Substrate,
19h15m11.44s +10d56m01.58s,0.8961,24.15,Baryonic Metric Substrate,16.25,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Baryonic Metric Substrate,
19h15m09.75s +10d57m04.30s,0.2589,113.8084,Gasious Substrate Schema,11.36,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m09.39s +10d56m51.44s,0.5781,29.696,Metric Spacetime Anomaly,19.9,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
19h15m12.67s +10d57m05.52s,0.4602,249.9467,Metric Spacetime Anomaly,26.35,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
19h15m06.64s +10d56m57.98s,0.2643,17.3839,Gasious Substrate Schema,33.07,MATCH: 2MASS J19150517+1057227 (LP?),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m10.77s +10d56m11.43s,0.2432,20.2355,Gasious Substrate Schema,17.8,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m15.18s +10d56m38.86s,0.2556,66.6782,Gasious Substrate Schema,53.72,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
19h15m07.50s +10d56m21.98s,0.3097,45.2924,Solenoidal Metric Schema (Iron),28.62,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m09.79s +10d56m23.45s,0.227,65.3161,Gasious Substrate Schema,22.29,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m09.42s +10d56m14.43s,0.2595,59.2189,Gasious Substrate Schema,30.35,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
