SECTION F,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,29512,11h27m45.8s -28d38m14s,2.44,0.9999,0.537,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,38334,14h33m00.1s +20d26m28s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40033,18h06m44.6s -62d07m56s,1.04,0.9999,0.23,Forming,K-Band (IR),PROTO-MATTER,,,45378,12h40m45.5s +31d29m09s,0.61,0.9825,0.14,Ghost,Radio / CMB,DARK MATTER,,,34525,11h47m52.9s -26d21m02s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43589,15h20m32.6s +57d41m51s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41084,10h42m30.6s -34d54m46s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35990,05h41m24.4s +25d54m09s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45431,19h37m24.1s +43d23m17s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29644,11h45m38.5s -56d02m26s,0.5,0.6917,0.228,Collapse,X-Ray / Gamma,SINGULARITY,
,29579,08h05m33.9s -39d00m13s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,38485,10h38m14.5s +22d28m38s,0.6,0.8555,0.181,Collapse,X-Ray / Gamma,SINGULARITY,,,40184,16h33m22.6s -67d53m23s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45445,09h17m09.0s +21d15m46s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34692,17h32m11.8s -17d51m19s,0.97,0.9999,0.213,Forming,K-Band (IR),PROTO-MATTER,,,43749,12h19m28.9s +57d40m53s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41134,18h55m05.9s -46d24m14s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36023,04h26m25.0s +18d34m23s,1.06,0.9999,0.233,Forming,K-Band (IR),PROTO-MATTER,,,45458,15h54m20.6s +58d10m09s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29677,10h33m45.0s -38d00m23s,1.46,0.9999,0.321,Stable,V-Band (Green),MAGNESIUM,
,29612,06h19m55.7s -16d26m02s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,38535,07h22m21.6s +02d16m36s,1.04,0.9999,0.229,Forming,K-Band (IR),PROTO-MATTER,,,40385,14h41m21.6s -55d39m04s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45512,06h45m53.4s +18d02m24s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34893,08h29m54.2s -16d50m10s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43829,18h04m24.7s +57d18m11s,5.29,0.9999,1.163,Fuel,UV / Lyman,HYDROGEN,,,41184,13h06m53.5s -53d21m25s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36090,03h53m33.0s +12d25m42s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45485,12h37m28.2s +63d16m30s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29694,17h56m02.7s -35d11m49s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,29629,11h35m17.6s -28d36m47s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,38585,14h39m44.7s +07d24m06s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40535,18h43m58.2s -50d17m55s,1.8,0.9999,0.396,High-Tension,B/V (Violet),CALCIUM,,,45645,09h13m20.4s +35d27m38s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34926,08h00m19.7s -19d32m23s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43870,17h04m33.9s +32d58m41s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41284,18h09m45.9s -52d21m28s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,36191,07h52m32.4s +28d26m60s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45512,12h27m13.9s +42d50m32s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29761,17h57m33.8s -34d55m48s,0.86,0.8453,0.264,Collapse,X-Ray / Gamma,SINGULARITY,
,29679,04h04m15.3s -19d17m25s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,38786,07h48m16.0s +16d43m17s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40585,10h59m10.1s -60d10m01s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45846,14h51m14.9s +28d33m10s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34960,08h19m01.6s -05d00m37s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43950,13h39m23.5s +33d43m10s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41485,15h02m44.9s -41d21m01s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36324,13h04m06.9s +12d00m58s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45565,19h28m29.1s +62d01m49s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29794,16h59m15.5s -52d39m51s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,29746,04h36m30.4s -30d12m34s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,39037,08h16m29.0s +22d46m36s,2.05,0.9999,0.452,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,40736,10h29m48.6s -66d32m33s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46047,06h36m53.7s +27d09m41s,1.06,0.9999,0.232,Forming,K-Band (IR),PROTO-MATTER,,,34993,09h23m26.4s -28d20m27s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44231,12h09m42.8s +51d59m26s,0.95,0.9999,0.21,Forming,K-Band (IR),PROTO-MATTER,,,41535,18h00m24.2s -38d10m54s,1.23,0.9999,0.271,Forming,K-Band (IR),PROTO-MATTER,,,36358,12h48m53.8s +36d31m37s,1.85,0.9999,0.406,High-Tension,B/V (Violet),CALCIUM,,,45592,21h01m38.3s +42d31m16s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29811,11h54m20.6s -56d25m28s,0.61,0.7657,0.23,Collapse,X-Ray / Gamma,SINGULARITY,
,29846,09h40m09.5s -15d30m54s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,39237,09h38m39.2s -01d18m56s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40786,18h59m00.9s -64d10m15s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46314,15h42m29.8s +25d32m13s,0.37,0.7085,0.163,Collapse,X-Ray / Gamma,SINGULARITY,,,35027,11h03m32.4s -01d08m23s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44271,19h17m01.3s +38d48m14s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41635,19h39m40.5s -35d44m12s,1.27,0.865,0.374,Collapse,X-Ray / Gamma,SINGULARITY,,,36391,11h50m39.9s +17d24m33s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45619,18h57m31.7s +61d25m42s,1.52,0.9999,0.335,Stable,V-Band (Green),MAGNESIUM,,,29844,13h33m36.9s -33d28m58s,1.48,0.9999,0.326,Stable,V-Band (Green),MAGNESIUM,
,29946,13h37m34.0s -32d29m40s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,39288,08h46m51.8s +12d01m50s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40987,10h48m53.4s -51d51m22s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46515,08h05m17.6s +30d09m39s,1.29,0.9888,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35227,17h41m17.0s -29d05m44s,0.15,0.4688,0.152,Collapse,X-Ray / Gamma,SINGULARITY,,,44431,19h36m06.0s +42d18m02s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41686,12h32m04.1s -44d22m48s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36692,07h10m08.8s +30d41m22s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45645,14h55m47.5s +60d37m02s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29911,16h56m08.9s -38d43m30s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,30013,12h43m10.3s -20d12m31s,4.55,0.9999,1.001,Fuel,UV / Lyman,HYDROGEN,,,,39438,14h31m47.0s +18d26m46s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41037,19h11m26.8s -73d02m02s,0.88,0.9999,0.193,Forming,K-Band (IR),PROTO-MATTER,,,46582,06h38m44.0s +40d28m52s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35294,14h38m51.6s -25d35m59s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44472,12h40m52.0s +46d45m56s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41736,15h37m02.1s -55d08m16s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36893,12h52m27.5s +23d46m53s,0.72,0.8148,0.239,Collapse,X-Ray / Gamma,SINGULARITY,,,45753,20h23m04.9s +42d35m48s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29928,10h44m16.3s -33d58m37s,0.63,0.9999,0.14,Ghost,Radio / CMB,DARK MATTER,
,30030,05h30m57.8s -37d39m07s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,39538,09h19m13.6s -01d50m10s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41087,10h33m15.9s -51d22m08s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46649,08h05m52.9s +42d23m04s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35361,10h37m32.3s -13d26m04s,1.12,0.9999,0.246,Forming,K-Band (IR),PROTO-MATTER,,,44512,10h56m09.6s +44d11m01s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41836,11h11m04.2s -50d53m50s,0.54,0.7358,0.219,Collapse,X-Ray / Gamma,SINGULARITY,,,36926,11h30m57.0s +32d18m34s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45860,12h01m09.1s +65d35m13s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29995,09h44m16.3s -35d02m38s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,30130,11h20m27.0s -38d41m10s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,39639,05h56m45.1s +05d31m39s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41237,11h10m42.1s -47d27m10s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46716,11h34m44.1s +34d15m44s,0.91,0.963,0.216,Forming,K-Band (IR),PROTO-MATTER,,,35495,08h49m26.8s -01d25m39s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44632,10h23m32.8s +42d55m21s,1.95,0.9999,0.43,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,42037,17h34m42.5s -43d17m13s,0.94,0.7988,0.325,Collapse,X-Ray / Gamma,SINGULARITY,,,36960,09h41m28.7s +13d07m14s,0.48,0.6599,0.243,Collapse,X-Ray / Gamma,SINGULARITY,,,45886,13h48m16.4s +55d37m32s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30012,18h28m35.4s -36d24m40s,1.54,0.9999,0.34,Stable,V-Band (Green),MAGNESIUM,
,30164,12h56m42.5s -15d28m57s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,,39940,15h25m51.5s -03d42m14s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41538,19h27m55.3s -49d53m40s,0.99,0.9999,0.217,Forming,K-Band (IR),PROTO-MATTER,,,46916,14h21m23.1s +21d43m20s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35562,12h16m38.8s -11d30m19s,1.17,0.8392,0.365,Collapse,X-Ray / Gamma,SINGULARITY,,,44672,13h47m59.6s +48d02m32s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42237,16h47m51.0s -42d11m31s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36993,07h41m51.7s +38d56m24s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46020,13h10m20.3s +67d31m17s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30095,13h12m32.7s -40d27m29s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,30181,04h11m10.2s -30d57m13s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,40040,10h29m03.3s +14d54m23s,1.07,0.9999,0.236,Forming,K-Band (IR),PROTO-MATTER,,,41639,17h35m11.1s -52d48m33s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,47050,07h36m51.3s +42d18m47s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35696,18h38m39.0s -30d01m13s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44712,20h03m25.7s +41d00m03s,0.31,0.4999,0.275,Collapse,X-Ray / Gamma,SINGULARITY,,,42288,17h18m40.0s -56d45m13s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37027,05h51m41.4s +11d58m07s,0.83,0.9999,0.184,Forming,K-Band (IR),PROTO-MATTER,,,46074,14h48m41.9s +45d39m16s,0.78,0.9999,0.172,Ghost,Radio / CMB,DARK MATTER,,,30129,15h04m58.9s -55d21m38s,0.72,0.9999,0.158,Ghost,Radio / CMB,DARK MATTER,
,30197,13h53m57.3s -43d31m44s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,40191,15h49m48.7s +07d36m35s,1.21,0.8936,0.334,Collapse,X-Ray / Gamma,SINGULARITY,,,41689,14h52m21.3s -55d44m24s,2.38,0.8615,0.705,Collapse,X-Ray / Gamma,SINGULARITY,,,47184,09h03m52.6s +31d13m55s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35729,18h32m20.9s -01d54m47s,0.51,0.7854,0.183,Collapse,X-Ray / Gamma,SINGULARITY,,,44913,11h27m32.5s +53d30m18s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42488,17h23m48.5s -31d38m35s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37060,04h29m09.1s +34d19m36s,1,0.746,0.393,Collapse,X-Ray / Gamma,SINGULARITY,,,46154,20h12m02.0s +46d58m30s,0.93,0.8653,0.274,Collapse,X-Ray / Gamma,SINGULARITY,,,30145,12h32m48.0s -39d40m57s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,30348,08h58m43.8s -41d12m27s,2.72,0.9999,0.598,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,40241,08h15m09.1s +00d47m53s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41890,18h08m48.1s -68d32m17s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,47385,16h18m33.0s +24d15m42s,1.19,0.9999,0.262,Forming,K-Band (IR),PROTO-MATTER,,,35796,15h56m58.3s -13d13m23s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45033,16h30m01.5s +34d10m31s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42538,17h00m44.2s -55d04m11s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37194,06h25m26.0s +12d00m39s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46207,12h31m05.8s +48d24m11s,0.74,0.9999,0.162,Ghost,Radio / CMB,DARK MATTER,,,30162,16h51m00.1s -32d51m56s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,30381,11h06m58.8s -22d01m06s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,40291,11h06m01.8s +24d17m27s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42040,19h32m35.1s -61d54m01s,3.13,0.9999,0.688,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,47652,07h19m37.4s +27d57m49s,0.75,0.9999,0.164,Ghost,Radio / CMB,DARK MATTER,,,36030,09h35m02.1s -15d03m01s,1.49,0.9999,0.328,Stable,V-Band (Green),MAGNESIUM,,,45234,10h57m29.9s +58d42m22s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42639,20h40m38.7s -34d16m31s,0.83,0.8766,0.237,Collapse,X-Ray / Gamma,SINGULARITY,,,37294,12h17m54.7s +33d11m21s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46234,12h28m09.8s +48d28m56s,2.77,0.8405,0.861,Collapse,X-Ray / Gamma,SINGULARITY,,,30179,10h58m38.8s -45d30m20s,1.21,0.9999,0.265,Forming,K-Band (IR),PROTO-MATTER,
,30448,14h06m42.3s -35d42m49s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,40492,07h55m36.0s -03d37m03s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42191,14h08m06.6s -54d35m55s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,47987,13h11m11.7s +43d55m30s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36064,11h26m25.5s -07d56m52s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45355,10h32m53.6s +30d17m38s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42689,11h34m56.3s -58d23m60s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37361,14h06m27.3s +20d18m01s,1.73,0.9999,0.38,High-Tension,B/V (Violet),CALCIUM,,,46288,20h14m54.9s +46d43m51s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30246,09h34m43.9s -34d52m34s,0.59,0.9102,0.156,Ghost,Radio / CMB,DARK MATTER,
,30465,03h35m01.8s -17d05m19s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,40542,11h44m01.0s +14d59m08s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42441,13h45m13.1s -70d37m34s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,48054,09h19m10.7s +37d14m47s,1.53,0.9999,0.337,Stable,V-Band (Green),MAGNESIUM,,,36097,13h38m55.6s -27d35m26s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45435,20h42m15.8s +29d58m07s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42739,17h59m44.2s -38d29m44s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37395,13h47m45.0s +35d25m04s,1.71,0.7596,0.651,Collapse,X-Ray / Gamma,SINGULARITY,,,46314,21h49m26.2s +50d09m01s,0.37,0.7085,0.163,Collapse,X-Ray / Gamma,SINGULARITY,,,30346,12h49m11.9s -55d19m27s,3.14,0.9999,0.692,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,30498,03h42m05.4s -35d19m10s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,40692,16h30m18.8s +21d17m17s,1.28,0.8533,0.388,Collapse,X-Ray / Gamma,SINGULARITY,,,42542,19h25m06.6s -67d51m41s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,48388,17h16m22.5s +41d50m17s,0.71,0.9999,0.155,Ghost,Radio / CMB,DARK MATTER,,,36164,17h41m58.7s -30d03m32s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45555,17h38m07.0s +59d58m55s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42789,16h41m08.2s -39d54m11s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37428,12h41m30.7s +11d03m16s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46368,14h58m52.7s +45d11m00s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30446,18h16m13.6s -53d09m15s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,30515,13h56m41.2s -44d17m01s,1.23,0.9999,0.27,Forming,K-Band (IR),PROTO-MATTER,,,,40843,13h34m46.0s +24d37m58s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42592,10h06m05.9s -64d19m15s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,48522,12h25m27.9s +34d16m20s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36264,18h38m15.7s -16d57m40s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45595,19h57m37.3s +30d10m47s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42839,12h28m37.1s -58d08m07s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37562,05h08m46.7s +24d45m21s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46421,13h06m49.9s +68d11m23s,1.09,0.9999,0.239,Forming,K-Band (IR),PROTO-MATTER,,,30463,10h01m19.1s -36d00m52s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,30548,12h36m15.2s -13d58m11s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,40943,16h46m25.8s +05d00m01s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42993,14h50m31.1s -72d32m56s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,48656,07h09m53.8s +15d30m32s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36365,12h59m12.4s +01d01m39s,1.23,0.9999,0.27,Forming,K-Band (IR),PROTO-MATTER,,,45635,11h43m39.3s +59d35m11s,1.77,0.875,0.51,Collapse,X-Ray / Gamma,SINGULARITY,,,42990,18h35m19.2s -54d16m07s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37595,04h03m02.1s +18d31m41s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46475,21h12m18.1s +53d50m51s,0.79,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,,,30497,09h27m51.4s -49d26m36s,0.29,0.5117,0.243,Collapse,X-Ray / Gamma,SINGULARITY,
,30599,08h33m24.7s -42d06m48s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,40993,07h20m18.8s +24d02m37s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43043,19h05m42.5s -45d35m47s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,48722,08h52m21.2s +21d14m05s,1.04,0.9999,0.228,Forming,K-Band (IR),PROTO-MATTER,,,36498,08h05m16.2s -18d55m39s,0.75,0.898,0.206,Collapse,X-Ray / Gamma,SINGULARITY,,,45676,12h16m29.2s +30d43m10s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43040,16h20m06.5s -30d57m52s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37662,04h20m07.9s +10d16m28s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46502,21h45m22.8s +67d32m01s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30513,19h25m35.6s -59d31m14s,1.18,0.9999,0.26,Forming,K-Band (IR),PROTO-MATTER,
