SECTION D,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,5873428,01h57m09.2s +70d47m03s,0.75,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,,8649833,07h26m40.4s -46d28m37s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4805184,11h35m36.6s -12d54m53s,0.91,0.8448,0.279,Collapse,X-Ray / Gamma,SINGULARITY,,,10220736,03h55m43.5s -12d20m34s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2267488,21h21m41.7s +17d00m34s,0.74,0.9999,0.163,Ghost,Radio / CMB,DARK MATTER,,,1870435,22h24m29.4s +50d20m06s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7269231,21h08m04.2s +01d01m46s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7391304,23h16m37.7s -19d26m31s,0.88,0.7299,0.364,Collapse,X-Ray / Gamma,SINGULARITY,,,9418060,08h57m02.8s +06d21m35s,0.9,0.9999,0.199,Forming,K-Band (IR),PROTO-MATTER,,,11724080,21h26m11.7s -19d29m32s,0.79,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,
,5906873,15h14m49.2s +58d14m15s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,8730100,23h32m41.7s -46d17m05s,0.76,0.9999,0.167,Ghost,Radio / CMB,DARK MATTER,,,4831940,07h10m54.6s +04d24m10s,1.27,0.9805,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10354515,21h11m40.6s +00d36m36s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2287555,08h07m18.3s +39d03m27s,1.32,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1903880,22h25m36.0s +52d51m35s,0.7,0.5882,0.446,Collapse,X-Ray / Gamma,SINGULARITY,,,7362876,20h42m39.0s +12d36m10s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7413043,10h41m44.3s -26d55m28s,0.98,0.9294,0.249,Forming,K-Band (IR),PROTO-MATTER,,,9508361,01h40m53.8s +19d35m47s,0.83,0.8109,0.276,Collapse,X-Ray / Gamma,SINGULARITY,,,12005017,15h00m28.4s -20d02m12s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,6023930,00h57m18.6s +78d27m22s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,8783612,07h48m10.8s -66d07m07s,1.59,0.9265,0.409,High-Tension,B/V (Violet),CALCIUM,,,4872074,23h08m12.5s +04d31m54s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10421405,02h36m18.2s -12d31m43s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2297589,09h19m13.1s +32d08m46s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1912241,23h02m03.9s +31d30m48s,1.59,0.9999,0.35,Stable,V-Band (Green),MAGNESIUM,,,7386288,07h56m21.4s +09d42m15s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7478261,20h56m37.8s -25d18m12s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9538462,14h13m20.6s +06d12m08s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12125418,05h38m49.1s -20d16m20s,0.82,0.9999,0.18,Ghost,Radio / CMB,DARK MATTER,
,6040652,10h56m04.9s +79d06m16s,1.16,0.9522,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,8810368,15h38m55.1s -46d05m30s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4885452,03h37m28.5s -13d13m01s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10521739,10h50m31.1s +09d28m28s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2317656,00h07m46.1s +23d48m39s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1937324,10h40m11.5s +43d50m13s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7479933,06h40m02.2s -07d25m19s,1.65,0.9999,0.363,High-Tension,B/V (Violet),CALCIUM,,,7543478,06h57m45.7s -41d12m54s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9658863,09h17m28.1s +06d02m56s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12205686,21h40m52.3s -20d25m47s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,6074097,05h16m46.9s +70d40m20s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,8837124,11h55m26.6s -55d38m34s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4925585,08h19m48.2s -13d22m03s,0.24,0.5229,0.192,Collapse,X-Ray / Gamma,SINGULARITY,,,10655518,22h27m15.0s -03d21m49s,4.43,0.7522,1.724,Collapse,X-Ray / Gamma,SINGULARITY,,,2327689,21h28m42.5s +39d16m04s,1.66,0.9999,0.366,High-Tension,B/V (Violet),CALCIUM,,,1945686,18h41m31.6s +42d22m44s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7596990,16h46m08.4s +10d45m01s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7565217,18h12m23.8s -36d28m03s,1.87,0.8694,0.543,Collapse,X-Ray / Gamma,SINGULARITY,,,9719064,14h24m25.1s +28d19m42s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12245819,15h42m14.4s -20d30m31s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,6090819,09h30m57.5s +63d49m53s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,8970903,23h51m59.5s -45d42m16s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4938963,12h49m02.8s +04d39m58s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10688963,23h28m02.3s +07d51m59s,3.79,0.9999,0.833,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,2417990,22h18m19.3s +32d10m08s,0.7,0.9999,0.153,Ghost,Radio / CMB,DARK MATTER,,,1995853,16h23m08.2s +54d00m34s,1.12,0.9999,0.246,Forming,K-Band (IR),PROTO-MATTER,,,7620401,06h04m06.1s +13d24m50s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7586957,05h23m21.2s -22d36m40s,1.12,0.7394,0.451,Collapse,X-Ray / Gamma,SINGULARITY,,,9749164,02h22m55.7s +20d02m44s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12326087,07h56m27.7s -20d40m00s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,6124264,09h53m45.9s +53d37m59s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,8997659,20h25m37.3s -55d53m25s,4.88,0.7663,1.827,Collapse,X-Ray / Gamma,SINGULARITY,,,4952341,15h07m12.5s +04d47m36s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10822742,11h36m44.6s -12d51m34s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2428023,05h58m48.6s +16d09m59s,2.31,0.9999,0.508,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,2012575,06h09m10.7s +51d54m57s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7643813,22h32m54.4s +13d17m48s,1.1,0.8694,0.319,Collapse,X-Ray / Gamma,SINGULARITY,,,7630435,03h32m44.5s -33d03m06s,0.69,0.9183,0.181,Forming,K-Band (IR),PROTO-MATTER,,,9809365,04h56m08.3s +14d08m26s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12366221,05h44m32.3s -20d44m46s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,6191154,14h44m26.6s +68d49m57s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,9024415,07h55m26.2s -66d19m49s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4965719,19h39m31.2s -13d31m03s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10856187,10h41m29.9s -03d04m59s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2468157,20h00m51.4s +15d57m17s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2037659,09h49m27.8s +39d14m25s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7714047,03h02m40.4s +00d10m58s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7652174,14h30m37.5s -41d58m43s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9839465,21h34m04.3s +28d28m30s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12526756,13h47m38.3s -21d03m50s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,6274766,10h01m18.1s +70d31m37s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,9051171,15h58m51.1s -45d30m36s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5005853,00h33m42.9s -13d40m03s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10923077,20h00m38.5s +09d47m29s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2478191,08h40m55.1s +23d47m20s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2046020,14h28m04.2s +40d25m53s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7877926,20h46m50.5s +10d53m37s,2.98,0.841,0.927,Collapse,X-Ray / Gamma,SINGULARITY,,,7695652,12h12m02.3s -20d24m35s,0.59,0.8292,0.19,Collapse,X-Ray / Gamma,SINGULARITY,,,10020067,15h12m55.6s +05d36m56s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12566890,08h39m58.2s -21d08m36s,0.65,0.9999,0.143,Ghost,Radio / CMB,DARK MATTER,
,6308211,00h13m22.4s +56d54m55s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,9158194,04h55m44.6s -56d09m03s,0.53,0.8641,0.157,Collapse,X-Ray / Gamma,SINGULARITY,,,5032609,07h06m01.6s +05d03m36s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10989967,01h38m16.2s -11d39m55s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2498258,14h19m29.4s +32d10m24s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2079465,13h14m14.3s +29d41m19s,2.97,0.9999,0.654,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,7924749,13h56m12.5s +13d59m19s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7717391,22h55m33.0s -21d57m17s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10080268,21h37m07.4s +28d45m16s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12807692,09h24m39.3s -21d37m21s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,
,6358378,05h10m02.4s +55d51m05s,1.94,0.9999,0.427,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,9184950,15h59m14.9s -66d27m27s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5059365,20h49m04.6s +04d42m53s,1.18,0.9999,0.259,Forming,K-Band (IR),PROTO-MATTER,,,11023411,20h35m24.4s -13d00m14s,0.78,0.9999,0.171,Ghost,Radio / CMB,DARK MATTER,,,2518324,19h30m00.3s +23d47m20s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2096187,14h49m53.9s +28d25m45s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7948161,00h11m23.9s +11d07m35s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7782609,06h39m06.3s -30d30m54s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10110368,15h46m26.6s +20d45m38s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12928094,21h53m08.3s -21d51m46s,1.06,0.9999,0.234,Forming,K-Band (IR),PROTO-MATTER,
,6458712,10h48m44.8s +76d40m20s,0.6,0.7808,0.217,Collapse,X-Ray / Gamma,SINGULARITY,,,,9238462,21h10m45.8s -56d17m09s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5126254,03h44m12.5s -14d06m53s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11056856,07h13m00.8s -02d47m07s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2528358,08h35m30.3s +40d19m32s,0.98,0.9999,0.217,Forming,K-Band (IR),PROTO-MATTER,,,2129632,16h43m53.5s +35d58m27s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8018395,17h02m34.6s -05d12m26s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7847826,13h49m24.6s -38d54m09s,0.78,0.9999,0.172,Ghost,Radio / CMB,DARK MATTER,,,10200669,15h54m35.1s +28d53m13s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13128763,02h25m50.8s -22d15m49s,0.72,0.9999,0.157,Ghost,Radio / CMB,DARK MATTER,
,6525602,19h19m02.9s +52d15m32s,1.65,0.9999,0.363,High-Tension,B/V (Violet),CALCIUM,,,,9291973,16h20m47.2s -44d55m28s,0.7,0.8488,0.215,Collapse,X-Ray / Gamma,SINGULARITY,,,5139632,13h00m59.4s +04d44m22s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11357860,14h47m02.7s +00d50m05s,1.58,0.9999,0.348,Stable,V-Band (Green),MAGNESIUM,,,2548425,11h57m57.6s +15d31m49s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2137993,18h04m12.5s +43d42m51s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8041806,23h43m14.4s -08d22m56s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7869565,00h07m45.0s -40d51m13s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10230769,03h51m26.2s +21d00m34s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13329431,05h55m54.7s -22d39m52s,1.87,0.9999,0.412,High-Tension,B/V (Violet),CALCIUM,
,6542324,19h28m27.7s +52d02m49s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,9318729,13h25m44.6s -56d25m26s,9.82,0.9999,2.161,Fuel,UV / Lyman,HYDROGEN,,,5179766,13h02m01.4s +04d44m57s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11525084,00h43m39.6s +10d09m25s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2568492,21h49m18.7s +40d32m17s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2154716,19h53m23.7s +36d45m11s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8158863,09h38m18.3s +10d59m37s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7891304,10h24m33.4s -27d12m11s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10260870,15h45m52.0s +05d21m03s,0.55,0.8523,0.166,Collapse,X-Ray / Gamma,SINGULARITY,,,13570234,05h56m32.9s -23d08m42s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,6625936,20h52m19.0s +80d30m60s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,9398997,05h40m40.6s -56d33m55s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5193144,15h03m10.1s +05d36m26s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11558528,01h02m49.7s -01d10m27s,0.66,0.9999,0.146,Ghost,Radio / CMB,DARK MATTER,,,2618659,02h18m44.9s +32d09m50s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2163077,01h28m56.2s +49d25m00s,1.46,0.7214,0.619,Collapse,X-Ray / Gamma,SINGULARITY,,,8182274,22h08m57.5s +14d20m50s,1.09,0.9999,0.24,Forming,K-Band (IR),PROTO-MATTER,,,7913043,20h40m29.9s -18d13m03s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10321070,21h40m22.1s +29d00m52s,1.04,0.9999,0.23,Forming,K-Band (IR),PROTO-MATTER,,,13730769,13h56m38.7s -23d27m52s,1.15,0.9999,0.253,Forming,K-Band (IR),PROTO-MATTER,
,6659381,05h20m54.1s +76d50m02s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,9506020,08h04m32.3s -66d40m38s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5219900,05h13m16.9s +04d45m27s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11692308,12h06m05.5s +10d04m20s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2628692,03h54m53.4s +15d06m16s,1.9,0.9999,0.419,High-Tension,B/V (Violet),CALCIUM,,,2188161,21h55m33.3s +27d59m41s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8205686,15h05m32.9s +14d40m35s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7934783,06h56m15.6s -27d21m41s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10501672,16h20m56.0s +05d06m22s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13811037,05h56m36.8s -23d37m26s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,6676104,17h58m58.6s +70d08m05s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,9559532,14h10m22.2s -56d51m27s,0.47,0.7087,0.208,Collapse,X-Ray / Gamma,SINGULARITY,,,5233278,16h37m27.4s +05d44m49s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11725753,14h12m47.3s +10d14m51s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2668826,06h55m54.5s +14d53m28s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2246689,03h03m15.4s +39d57m22s,1.71,0.9999,0.376,High-Tension,B/V (Violet),CALCIUM,,,8299331,09h24m08.0s -05d17m07s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8043478,10h36m21.3s -30d42m56s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10591973,15h50m20.1s +21d47m11s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13851171,04h48m34.4s -23d42m12s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,6692826,08h18m23.0s +62d19m43s,0.93,0.9999,0.204,Forming,K-Band (IR),PROTO-MATTER,,,,9586288,00h05m23.9s -66d43m29s,2.45,0.9999,0.539,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,5273411,07h01m30.8s +05d53m17s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11759197,22h50m17.7s -01d31m48s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2688893,16h52m07.2s +41d10m40s,0.69,0.8051,0.235,Collapse,X-Ray / Gamma,SINGULARITY,,,2255050,03h36m11.8s +46d39m33s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8322742,02h27m03.9s -08d49m15s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8065217,21h05m03.8s -42d35m43s,1,0.9999,0.221,Forming,K-Band (IR),PROTO-MATTER,,,10622074,10h18m18.6s +04d59m30s,1.94,0.9999,0.427,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,13971572,13h56m25.4s -23d56m30s,1.05,0.8832,0.295,Collapse,X-Ray / Gamma,SINGULARITY,
,6843328,02h41m54.8s +81d06m05s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,9639799,06h25m06.8s -57d00m30s,1.73,0.8694,0.504,Collapse,X-Ray / Gamma,SINGULARITY,,,5286789,11h49m46.7s -14d42m18s,0.71,0.9999,0.157,Ghost,Radio / CMB,DARK MATTER,,,12026756,15h08m37.6s -13d29m40s,1.47,0.9999,0.324,Stable,V-Band (Green),MAGNESIUM,,,2708960,19h51m39.9s +14d40m39s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2263411,03h32m35.4s +33d06m10s,0.74,0.8109,0.248,Collapse,X-Ray / Gamma,SINGULARITY,,,8346154,15h01m45.1s -09d16m33s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8108696,18h15m19.9s -21d10m08s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10802676,21h48m16.3s +29d28m18s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,14011706,13h20m54.4s -24d01m15s,0.75,0.8906,0.208,Collapse,X-Ray / Gamma,SINGULARITY,
,6860050,19h35m21.6s +76d57m54s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,9693311,01h02m07.5s -43d56m39s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5300167,21h25m57.0s +04d46m10s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12060201,11h58m34.2s -01d02m53s,0.61,0.7806,0.222,Collapse,X-Ray / Gamma,SINGULARITY,,,2729027,06h05m15.3s +41d23m30s,2.47,0.9999,0.544,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,2271773,06h10m50.0s +52d37m34s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8392977,06h00m56.2s -01d13m02s,0.79,0.854,0.238,Collapse,X-Ray / Gamma,SINGULARITY,,,8152174,15h44m58.8s -34d10m58s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10862876,10h28m13.3s +04d46m46s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,14051839,05h56m16.8s -24d05m60s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,6876773,00h01m45.8s +69d53m17s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,9720067,22h39m46.6s -57d09m44s,0.86,0.7472,0.337,Collapse,X-Ray / Gamma,SINGULARITY,,,5326923,17h27m13.5s -14d51m05s,0.87,0.9999,0.191,Forming,K-Band (IR),PROTO-MATTER,,,12160535,06h54m55.8s -02d17m24s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2769161,08h59m44.8s +41d36m20s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2313579,08h18m51.8s +29d57m34s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8416388,20h47m58.2s +05d11m60s,1.26,0.9999,0.278,Forming,K-Band (IR),PROTO-MATTER,,,8173913,02h37m34.4s -43d10m31s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10892977,03h38m11.1s +11d50m06s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,14132107,21h56m06.6s -24d15m28s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
