SECTION A,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,26000,03h15m43.4s -13d56m30s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,01h08m29.7s +09d43m57s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,03h32m39.8s +49d13m10s,1.35,0.9795,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h44m12.1s +23d02m03s,0.86,0.9999,0.19,Forming,K-Band (IR),PROTO-MATTER,,,930,05h52m11.1s -37d10m26s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h09m35.6s +24d00m10s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,02h50m51.4s +10d54m17s,1.87,0.9999,0.411,High-Tension,B/V (Violet),CALCIUM,,,7800,04h58m58.2s +28d44m01s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,02h27m59.1s -26d04m28s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,14h36m60.0s -04d14m01s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h15m04.4s -13d53m37s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,01h09m27.4s +09d43m22s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,03h33m24.4s +49d16m00s,1.35,0.9795,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h43m37.5s +23d02m16s,1.44,0.8625,0.427,Collapse,X-Ray / Gamma,SINGULARITY,,,930,05h51m33.9s -37d08m47s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h09m47.6s +24d01m19s,0.78,0.9999,0.172,Ghost,Radio / CMB,DARK MATTER,,,18000,02h48m47.0s +11d04m05s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,04h59m57.1s +28d42m51s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,02h28m46.1s -26d01m39s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,14h40m59.2s -04d26m02s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h14m25.4s -13d50m43s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,01h13m18.0s +09d40m60s,0.74,0.9999,0.162,Ghost,Radio / CMB,DARK MATTER,,,7300,03h34m08.9s +49d18m51s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h43m03.0s +23d02m28s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,05h47m51.0s -36d58m54s,1.67,0.9999,0.367,High-Tension,B/V (Violet),CALCIUM,,,800,08h10m23.5s +24d04m47s,2.49,0.8873,0.696,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h48m31.4s +11d05m18s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,05h00m56.1s +28d41m42s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,02h29m33.2s -25d58m49s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,14h41m59.0s -04d29m03s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h11m49.3s -13d39m09s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,01h14m15.7s +09d40m24s,0.74,0.9999,0.162,Ghost,Radio / CMB,DARK MATTER,,,7300,03h34m53.4s +49d21m42s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h42m28.4s +23d02m41s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,05h46m36.6s -36d55m36s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h11m11.4s +24d09m25s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,02h48m15.8s +11d06m32s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,05h01m55.0s +28d40m32s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,02h32m41.3s -25d47m33s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,14h42m58.8s -04d32m03s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h10m31.2s -13d33m22s,1.02,0.9999,0.224,Forming,K-Band (IR),PROTO-MATTER,,,,16000,01h15m13.3s +09d39m49s,0.74,0.9999,0.162,Ghost,Radio / CMB,DARK MATTER,,,7300,03h35m38.0s +49d24m32s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h40m10.2s +23d03m31s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,05h45m22.3s -36d52m18s,0.68,0.8119,0.226,Collapse,X-Ray / Gamma,SINGULARITY,,,800,08h11m35.3s +24d11m44s,1.14,0.9999,0.252,Forming,K-Band (IR),PROTO-MATTER,,,18000,02h48m00.3s +11d07m45s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,05h02m53.9s +28d39m22s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,02h33m28.3s -25d44m44s,1.19,0.9999,0.263,Forming,K-Band (IR),PROTO-MATTER,,,28000,14h43m58.6s -04d35m03s,1.19,0.9999,0.263,Forming,K-Band (IR),PROTO-MATTER,
,26000,03h09m52.1s -13d30m29s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,01h16m11.0s +09d39m13s,0.74,0.7267,0.307,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,03h38m36.1s +49d35m55s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h38m26.5s +23d04m09s,0.74,0.9114,0.196,Forming,K-Band (IR),PROTO-MATTER,,,930,05h43m30.7s -36d47m21s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h11m47.3s +24d12m53s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,02h47m44.7s +11d08m58s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,05h12m43.2s +28d27m45s,0.92,0.9999,0.202,Forming,K-Band (IR),PROTO-MATTER,,,11000,02h34m15.4s -25d41m55s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,14h49m57.4s -04d53m06s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h09m13.1s -13d27m35s,0.96,0.8881,0.269,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h17m08.7s +09d38m38s,0.74,0.7267,0.307,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,03h39m20.7s +49d38m46s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h36m08.3s +23d04m59s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,05h41m39.1s -36d42m24s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h11m59.2s +24d14m03s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,02h47m29.2s +11d10m12s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,05h16m38.8s +28d23m06s,0.87,0.8209,0.284,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,02h40m31.7s -25d19m22s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,14h50m57.2s -04d56m06s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h07m54.9s -13d21m48s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,01h18m06.3s +09d38m02s,0.74,0.7267,0.307,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,03h40m05.2s +49d41m36s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h35m33.7s +23d05m11s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,05h39m47.5s -36d37m27s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h12m11.1s +24d15m12s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,02h46m27.0s +11d15m06s,1.95,0.8749,0.561,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,05h17m37.8s +28d21m56s,0.87,0.8209,0.284,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,02h41m18.8s -25d16m33s,0.92,0.9999,0.202,Forming,K-Band (IR),PROTO-MATTER,,,28000,14h51m57.0s -04d59m07s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h04m39.5s -13d07m21s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,01h19m04.0s +09d37m27s,1.95,0.9999,0.428,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,7300,03h41m34.3s +49d47m18s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h32m41.0s +23d06m14s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,05h39m10.3s -36d35m47s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h12m46.9s +24d18m40s,0.68,0.9999,0.149,Ghost,Radio / CMB,DARK MATTER,,,18000,02h46m11.5s +11d16m19s,1.95,0.8749,0.561,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,05h19m35.6s +28d19m36s,0.73,0.9999,0.161,Ghost,Radio / CMB,DARK MATTER,,,11000,02h42m05.8s -25d13m44s,4.04,0.8573,1.209,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,14h53m56.6s -05d05m08s,2.57,0.9999,0.565,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,26000,03h04m00.4s -13d04m27s,1.68,0.9999,0.37,High-Tension,B/V (Violet),CALCIUM,,,,16000,01h28m40.6s +09d31m32s,3.67,0.9999,0.808,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,7300,03h42m18.8s +49d50m08s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h32m06.5s +23d06m27s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,05h37m18.6s -36d30m50s,0.98,0.8259,0.315,Collapse,X-Ray / Gamma,SINGULARITY,,,800,08h12m58.9s +24d19m50s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,02h45m55.9s +11d17m32s,1.95,0.8749,0.561,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,05h20m34.5s +28d18m26s,0.73,0.9999,0.161,Ghost,Radio / CMB,DARK MATTER,,,11000,02h42m52.9s -25d10m55s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,15h01m55.0s -05d29m11s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h03m21.3s -13d01m34s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,01h33m28.9s +09d28m35s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,03h43m03.3s +49d52m59s,1.75,0.9999,0.385,High-Tension,B/V (Violet),CALCIUM,,,6500,05h30m57.4s +23d06m52s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,05h36m04.2s -36d27m32s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h13m22.7s +24d22m08s,0.49,0.8819,0.138,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h45m40.4s +11d18m46s,2.34,0.9999,0.515,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,7800,05h22m32.4s +28d16m07s,2.44,0.9999,0.537,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,11000,02h46m48.2s -24d56m49s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,15h02m54.8s -05d32m11s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h00m44.7s -12d49m60s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,01h34m26.5s +09d27m60s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,03h47m30.5s +50d10m03s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h30m22.9s +23d07m05s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,05h35m27.0s -36d25m53s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,Filter for Singularities,,,,,,,,,,,18000,02h44m53.7s +11d22m26s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,05h25m29.1s +28d12m37s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,02h49m09.4s -24d48m22s,1.73,0.9999,0.38,High-Tension,B/V (Violet),CALCIUM,,,28000,15h03m54.6s -05d35m12s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h00m05.6s -12d47m07s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,01h35m24.2s +09d27m24s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,03h50m28.5s +50d21m26s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h29m13.8s +23d07m30s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,05h34m49.7s -36d24m14s,0.64,0.9795,0.147,Ghost,Radio / CMB,DARK MATTER,,,800,07h18m26.8s +19d13m14s,0.45,0.6823,0.211,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h44m38.2s +11d23m40s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,05h26m28.0s +28d11m28s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,02h50m43.5s -24d42m44s,0.71,0.7766,0.258,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,15h10m53.2s -05d56m15s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
Filter for Singularities,,,,,,,,,,,,16000,01h36m21.9s +09d26m49s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,03h51m13.1s +50d24m17s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h28m39.3s +23d07m42s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,05h29m14.5s -36d09m22s,2.94,0.761,1.116,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h19m05.7s +19d16m46s,0.92,0.7955,0.319,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h44m22.7s +11d24m53s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,05h27m27.0s +28d10m18s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,02h57m00.1s -24d20m11s,1.26,0.9999,0.278,Forming,K-Band (IR),PROTO-MATTER,,,28000,15h11m53.0s -05d59m15s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,06h03m42.0s -26d41m28s,1.91,0.8982,0.521,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h37m19.5s +09d26m13s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,03h54m11.1s +50d35m39s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h26m55.7s +23d08m20s,2.66,0.9999,0.586,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,930,05h28m37.2s -36d07m43s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h22m32.3s +19d35m33s,1.47,0.6063,0.877,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h44m07.1s +11d26m06s,0.33,0.653,0.169,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,05h32m21.5s +28d04m29s,1.81,0.9999,0.398,High-Tension,B/V (Violet),CALCIUM,,,11000,02h57m47.2s -24d17m22s,0.81,0.8774,0.231,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,15h12m52.8s -06d02m15s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,06h01m49.9s -26d32m45s,1.51,0.7678,0.563,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h38m17.2s +09d25m38s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,03h57m53.7s +50d49m53s,1.23,0.9999,0.27,Forming,K-Band (IR),PROTO-MATTER,,,6500,05h24m03.1s +23d09m23s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,05h26m45.4s -36d02m46s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h29m48.1s +20d15m26s,2.18,0.8914,0.603,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h43m51.6s +11d27m20s,0.33,0.653,0.169,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,05h33m20.5s +28d03m19s,0.98,0.8548,0.297,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,03h01m42.6s -24d03m16s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,Filter for Singularities,,,,,,,,,
,26000,05h57m28.2s -26d12m26s,0.67,0.7721,0.248,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h42m07.8s +09d23m16s,0.65,0.857,0.195,Collapse,X-Ray / Gamma,SINGULARITY,,Filter for Singularities,,,,,,,,,,,6500,05h23m28.6s +23d09m36s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,05h24m53.5s -35d57m48s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h31m42.7s +20d25m58s,1.17,0.8843,0.33,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h43m36.0s +11d28m33s,0.33,0.653,0.169,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,05h34m19.4s +28d02m09s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,Filter for Singularities,,,,,,,,,,,28000,12h38m22.8s +01d43m49s,0.5,0.8319,0.159,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,05h45m36.3s -25d17m17s,2.63,0.738,1.062,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h43m05.5s +09d22m41s,0.65,0.857,0.195,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,00h36m57.5s +38d02m11s,0.56,0.6293,0.312,Collapse,X-Ray / Gamma,SINGULARITY,,Filter for Singularities,,,,,,,,,,,930,05h24m16.2s -35d56m09s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h35m56.2s +20d49m23s,2.07,0.8155,0.685,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h43m05.0s +11d31m00s,1.52,0.9999,0.334,Stable,V-Band (Green),MAGNESIUM,,,7800,05h35m18.3s +28d00m59s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,23h19m03.2s -37d27m05s,0.89,0.8848,0.249,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,12h39m22.6s +01d40m48s,0.5,0.8319,0.159,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,05h19m52.2s -23d18m20s,0.85,0.8858,0.238,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h44m03.1s +09d22m05s,0.65,0.857,0.195,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,00h42m11.1s +38d22m04s,0.29,0.6271,0.164,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h50m18.8s +22d17m19s,0.64,0.8698,0.187,Collapse,X-Ray / Gamma,SINGULARITY,,Filter for Singularities,,,,,,,,,,,800,07h36m34.1s +20d52m53s,1.17,0.6869,0.546,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h40m29.6s +11d43m14s,1.04,0.9999,0.228,Forming,K-Band (IR),PROTO-MATTER,,,7800,05h42m10.7s +27d52m51s,1.48,0.9999,0.325,Stable,V-Band (Green),MAGNESIUM,,,11000,23h25m16.5s -37d04m31s,0.65,0.8238,0.211,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,12h40m22.4s +01d37m48s,0.5,0.8319,0.159,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,05h07m15.2s -22d20m21s,1.52,0.7664,0.569,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h47m53.7s +09d19m44s,0.91,0.9892,0.204,Forming,K-Band (IR),PROTO-MATTER,,,7300,00h42m55.8s +38d24m55s,0.29,0.6271,0.164,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h49m43.9s +22d17m31s,0.64,0.8698,0.187,Collapse,X-Ray / Gamma,SINGULARITY,,,930,08h18m01.7s -43d41m03s,1.77,0.6991,0.796,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h41m35.9s +21d20m55s,0.72,0.8662,0.21,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h38m41.0s +11d51m48s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,05h51m00.9s +27d42m22s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h04m11.9s -34d43m24s,1.11,0.8455,0.34,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,12h50m20.5s +01d07m44s,0.77,0.8213,0.253,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,04h52m03.4s -21d10m46s,0.5,0.8345,0.159,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h53m39.7s +09d16m11s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h30m40.2s +41d26m49s,1.27,0.8114,0.424,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h35m13.0s +22d22m34s,0.35,0.652,0.181,Collapse,X-Ray / Gamma,SINGULARITY,,,930,07h51m54.1s -42d30m46s,0.94,0.8886,0.261,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h47m12.8s +21d52m25s,1.27,0.7194,0.541,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h38m25.4s +11d53m01s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,05h51m59.8s +27d41m12s,1.13,0.9999,0.248,Forming,K-Band (IR),PROTO-MATTER,,,11000,00h26m01.4s -33d24m23s,1.68,0.8203,0.551,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,12h51m20.3s +01d04m43s,0.77,0.8213,0.253,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,04h21m29.1s -18d51m42s,2.83,0.866,0.831,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h54m37.3s +09d15m36s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h41m50.8s +42d09m28s,0.55,0.794,0.19,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h29m59.7s +22d24m23s,1.69,0.8832,0.477,Collapse,X-Ray / Gamma,SINGULARITY,,,930,07h48m51.4s -42d22m35s,0.36,0.4553,0.381,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h52m46.8s +22d23m51s,1.79,0.7875,0.634,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h38m09.9s +11d54m15s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,06h00m50.0s +27d30m44s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h29m55.4s -33d10m17s,0.98,0.6991,0.443,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,12h52m20.1s +01d01m43s,0.77,0.8213,0.253,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,04h13m48.2s -18d16m57s,0.5,0.6688,0.247,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h55m35.0s +09d15m00s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h50m47.2s +42d43m35s,1.73,0.809,0.582,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h27m40.5s +22d25m12s,0.93,0.732,0.384,Collapse,X-Ray / Gamma,SINGULARITY,,,930,07h28m07.2s -41d26m54s,0.51,0.7033,0.225,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h57m29.1s +22d50m36s,1.2,0.871,0.349,Collapse,X-Ray / Gamma,SINGULARITY,,Filter for Singularities,,,,,,,,,,,7800,06h01m48.9s +27d29m34s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h53m20.0s -31d45m39s,0.51,0.7913,0.18,Collapse,X-Ray / Gamma,SINGULARITY,,Sync Matches,,,,,,,,,
