SECTION C,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,9,08h21m33.4s -13d44m58s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,26,17h13m26.9s +37d10m18s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,434,01h15m47.1s +85d19m45s,1.23,0.9999,0.271,Forming,K-Band (IR),PROTO-MATTER,,,451,05h19m38.5s +23d58m46s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h45m39.4s +15d22m44s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h47m53.3s +07d28m05s,1.32,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,15h59m02.8s -57d05m32s,1.1,0.9999,0.243,Forming,K-Band (IR),PROTO-MATTER,,,552,16h04m03.4s -22d53m27s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,863,05h58m08.8s -04d24m20s,0.49,0.677,0.236,Collapse,X-Ray / Gamma,SINGULARITY,,,17,19h26m55.1s +09d37m26s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h23m28.2s -13d40m33s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,,26,17h11m50.0s +37d07m03s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,435,01h12m59.0s +85d05m38s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,452,05h08m31.9s +24d19m39s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h46m40.8s +15d19m43s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h49m02.1s +07d31m19s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h00m45.7s -56d59m59s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,552,16h02m29.8s -22d50m43s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,863,05h55m17.2s -04d18m07s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,17,19h25m34.4s +09d38m46s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h28m14.4s -13d29m35s,0.28,0.6573,0.141,Collapse,X-Ray / Gamma,SINGULARITY,,,,26,17h11m01.9s +37d05m25s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,435,01h11m56.1s +85d00m01s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,452,05h06m13.6s +24d23m24s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h48m44.0s +15d13m42s,2.2,0.9999,0.483,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,12,08h50m10.2s +07d34m33s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h02m28.8s -56d54m26s,0.38,0.5882,0.239,Collapse,X-Ray / Gamma,SINGULARITY,,,553,15h54m28.1s -22d37m14s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,863,05h52m16.7s -04d11m56s,0.97,0.8815,0.275,Collapse,X-Ray / Gamma,SINGULARITY,,,17,19h24m11.7s +09d40m03s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h31m05.7s -13d23m01s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,26,17h10m14.0s +37d03m46s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,435,01h10m26.7s +84d51m38s,0.97,0.9999,0.214,Forming,K-Band (IR),PROTO-MATTER,,,453,04h55m44.9s +24d39m11s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h53m53.4s +14d58m38s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h52m24.1s +07d40m57s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h05m55.9s -56d43m21s,1.54,0.7963,0.536,Collapse,X-Ray / Gamma,SINGULARITY,,,553,15h51m09.4s -22d31m57s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,863,05h50m43.1s -04d08m51s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h23m43.7s +09d40m28s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h32m59.6s -13d18m40s,0.67,0.9999,0.148,Ghost,Radio / CMB,DARK MATTER,,,,26,17h06m17.8s +36d55m27s,0.95,0.9999,0.21,Forming,K-Band (IR),PROTO-MATTER,,,435,01h09m30.5s +84d46m05s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,454,04h46m37.4s +24d51m49s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h55m57.8s +14d52m36s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h54m02.5s +07d45m43s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h06m47.9s -56d40m35s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,553,15h49m28.9s -22d29m19s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,864,05h49m07.4s -04d05m47s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h20m50.8s +09d42m53s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h33m56.5s -13d16m29s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,26,17h04m44.8s +36d52m04s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,435,01h07m46.2s +84d35m02s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,454,04h39m58.4s +25d00m35s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h59m04.9s +14d43m32s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h55m39.2s +07d50m26s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h07m39.9s -56d37m49s,3.07,0.9999,0.676,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,553,15h46m05.8s -22d24m06s,1,0.7284,0.414,Collapse,X-Ray / Gamma,SINGULARITY,,,864,05h40m36.8s -03d50m35s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h19m51.4s +09d43m39s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h37m43.6s -13d07m48s,1.01,0.8108,0.338,Collapse,X-Ray / Gamma,SINGULARITY,,,,26,17h03m58.7s +36d50m22s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,435,01h07m21.9s +84d32m17s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,454,04h36m29.1s +25d05m05s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,16h04m18.2s +14d28m26s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h56m11.1s +07d52m00s,0.93,0.7972,0.321,Collapse,X-Ray / Gamma,SINGULARITY,,,5,16h09m24.2s -56d32m17s,0.76,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,553,15h44m23.3s -22d21m31s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,864,05h38m48.6s -03d47m35s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h19m21.4s +09d44m02s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h42m26.4s -12d56m59s,1.03,0.9999,0.227,Forming,K-Band (IR),PROTO-MATTER,,,,26,17h03m12.8s +36d48m40s,0.6,0.5755,0.397,Collapse,X-Ray / Gamma,SINGULARITY,,,435,01h06m13.1s +84d24m04s,1.52,0.9999,0.335,Stable,V-Band (Green),MAGNESIUM,,,454,04h29m12.1s +25d14m16s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,16h07m27.1s +14d19m22s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h57m45.5s +07d56m41s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h10m16.4s -56d29m31s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,553,15h33m55.6s -22d06m21s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,864,05h35m06.1s -03d41m37s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h18m51.1s +09d44m24s,1.92,0.9999,0.423,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,9,08h43m22.8s -12d54m50s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,26,16h58m42.5s +36d38m17s,1.04,0.9999,0.228,Forming,K-Band (IR),PROTO-MATTER,,,435,01h03m11.9s +83d57m06s,1.25,0.9999,0.274,Forming,K-Band (IR),PROTO-MATTER,,,455,04h21m31.9s +25d23m43s,0.54,0.6001,0.328,Collapse,X-Ray / Gamma,SINGULARITY,,,37,16h08m30.2s +14d16m21s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h59m48.6s +08d02m51s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h12m01.0s -56d23m59s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,553,15h30m22.5s -22d01m25s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,864,05h33m12.0s -03d38m38s,0.64,0.8667,0.187,Collapse,X-Ray / Gamma,SINGULARITY,,,17,19h16m16.4s +09d46m11s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h44m19.2s -12d52m41s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,26,16h55m03.9s +36d29m27s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,435,01h02m32.5s +83d49m08s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,456,03h56m31.2s +25d53m36s,1.68,0.9999,0.37,High-Tension,B/V (Violet),CALCIUM,,,38,16h09m33.3s +14d13m19s,1.12,0.9999,0.246,Forming,K-Band (IR),PROTO-MATTER,,,12,09h00m48.9s +08d05m55s,1.88,0.9999,0.413,High-Tension,B/V (Violet),CALCIUM,,,5,16h15m31.1s -56d12m56s,0.75,0.9999,0.165,Ghost,Radio / CMB,DARK MATTER,,,554,15h15m57.6s -21d42m24s,1.13,0.9999,0.249,Forming,K-Band (IR),PROTO-MATTER,,,864,05h29m18.1s -03d32m45s,1.32,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h15m13.0s +09d46m52s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h51m48.3s -12d35m32s,0.89,0.9999,0.196,Forming,K-Band (IR),PROTO-MATTER,,,,26,16h51m31.6s +36d20m26s,1.46,0.9999,0.32,Stable,V-Band (Green),MAGNESIUM,,,436,01h02m00.2s +83d41m14s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,456,03h47m38.2s +26d04m02s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38,16h10m36.5s +14d10m17s,4.31,0.8207,1.409,Collapse,X-Ray / Gamma,SINGULARITY,,,12,09h01m18.8s +08d07m27s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h16m23.8s -56d10m11s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,554,15h12m19.7s -21d37m50s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,865,05h27m18.4s -03d29m49s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h14m08.7s +09d47m32s,2.69,0.8324,0.853,Collapse,X-Ray / Gamma,SINGULARITY,
,9,08h53m40.0s -12d31m16s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,26,16h48m46.4s +36d13m06s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,436,01h01m28.3s +83d30m47s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,457,03h33m56.3s +26d20m05s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38,16h20m08.1s +13d43m02s,0.93,0.9999,0.204,Forming,K-Band (IR),PROTO-MATTER,,,12,09h01m48.5s +08d08m58s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h18m09.4s -56d04m40s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,555,15h01m26.4s -21d24m35s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,865,05h25m16.9s -03d26m54s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h13m36.2s +09d47m51s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h58m18.5s -12d20m38s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,26,16h48m05.7s +36d11m15s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,436,01h01m17.3s +83d25m36s,1.74,0.7981,0.602,Collapse,X-Ray / Gamma,SINGULARITY,,,457,03h10m28.6s +26d47m49s,0.99,0.8336,0.313,Collapse,X-Ray / Gamma,SINGULARITY,,,38,16h22m15.7s +13d36m59s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,09h02m18.0s +08d10m29s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h19m55.2s -55d59m09s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,555,14h57m49.8s -21d20m20s,2.28,0.9999,0.501,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,865,05h19m02.2s -03d18m16s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h11m24.1s +09d49m06s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,09h01m04.9s -12d14m18s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,26,16h44m46.6s +36d01m54s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,436,01h01m05.3s +83d15m20s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,458,03h01m00.6s +26d59m14s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38,16h25m27.5s +13d27m53s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,09h04m42.5s +08d18m01s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h24m20.9s -55d45m24s,0.6,0.8104,0.2,Collapse,X-Ray / Gamma,SINGULARITY,,,555,14h47m07.5s -21d08m06s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,865,05h14m44.3s -03d12m35s,1.49,0.9999,0.327,Stable,V-Band (Green),MAGNESIUM,,,17,19h08m34.0s +09d50m33s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,
,9,09h03m50.9s -12d07m58s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,26,16h42m50.5s +35d56m13s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,436,01h01m06.8s +83d05m11s,1.47,0.9999,0.323,Stable,V-Band (Green),MAGNESIUM,,,458,02h56m16.9s +27d04m60s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38,16h29m43.7s +13d15m45s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,09h05m38.8s +08d21m00s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h25m14.3s -55d42m39s,1.48,0.9999,0.325,Stable,V-Band (Green),MAGNESIUM,,,555,14h43m37.0s -21d04m12s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,865,05h12m33.0s -03d09m46s,0.76,0.9999,0.167,Ghost,Radio / CMB,DARK MATTER,,,17,19h07m59.3s +09d50m50s,1.56,0.9999,0.344,Stable,V-Band (Green),MAGNESIUM,
,9,09h06m36.3s -12d01m40s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,26,16h41m34.4s +35d52m23s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,436,01h01m09.3s +83d02m40s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,459,02h32m57.8s +27d34m22s,0.68,0.9999,0.15,Ghost,Radio / CMB,DARK MATTER,,,38,16h30m47.9s +13d12m43s,1.13,0.9999,0.249,Forming,K-Band (IR),PROTO-MATTER,,,12,09h06m06.7s +08d22m29s,0.73,0.9999,0.16,Ghost,Radio / CMB,DARK MATTER,,,5,16h29m41.9s -55d28m55s,1.5,0.7621,0.568,Collapse,X-Ray / Gamma,SINGULARITY,,,555,14h40m08.7s -21d00m23s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,865,05h10m20.2s -03d06m58s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h06m49.3s +09d51m22s,1.32,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,09h09m21.2s -11d55m22s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,26,16h40m19.5s +35d48m32s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,436,01h01m16.9s +82d57m39s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,459,02h28m24.5s +27d40m21s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38,16h32m56.4s +13d06m38s,0.76,0.9925,0.171,Ghost,Radio / CMB,DARK MATTER,,,12,09h07m29.2s +08d26m55s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h30m35.6s -55d26m10s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,556,14h31m39.8s -20d51m15s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,865,05h05m50.3s -03d01m25s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h03m50.5s +09d52m38s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,09h10m16.1s -11d53m17s,1.83,0.9999,0.403,High-Tension,B/V (Violet),CALCIUM,,,,26,16h39m05.8s +35d44m39s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,436,01h01m28.1s +82d52m41s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,459,02h23m54.2s +27d46m21s,1.01,0.9307,0.256,Forming,K-Band (IR),PROTO-MATTER,,,38,16h39m22.5s +12d48m25s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,09h07m56.2s +08d28m23s,1.46,0.89,0.406,Collapse,X-Ray / Gamma,SINGULARITY,,,5,16h31m29.4s -55d23m26s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,556,14h30m00.4s -20d49m30s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,865,05h03m33.3s -02d58m40s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h03m14.1s +09d52m52s,4.49,0.8688,1.308,Collapse,X-Ray / Gamma,SINGULARITY,
,9,09h11m10.9s -11d51m11s,0.72,0.9999,0.158,Ghost,Radio / CMB,DARK MATTER,,,,26,16h38m29.4s +35d42m42s,2.3,0.9999,0.507,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,436,01h02m11.3s +82d40m22s,1.19,0.9999,0.262,Forming,K-Band (IR),PROTO-MATTER,,,459,02h19m27.4s +27d52m23s,0.75,0.7952,0.262,Collapse,X-Ray / Gamma,SINGULARITY,,,38,16h41m31.5s +12d42m21s,2.68,0.8945,0.736,Collapse,X-Ray / Gamma,SINGULARITY,,,12,09h08m23.1s +08d29m51s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h34m11.2s -55d15m12s,1.07,0.9999,0.235,Forming,K-Band (IR),PROTO-MATTER,,,556,14h23m31.8s -20d42m44s,1.09,0.9999,0.239,Forming,K-Band (IR),PROTO-MATTER,,,866,04h54m12.8s -02d47m53s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18,19h02m00.7s +09d53m20s,0.88,0.9876,0.199,Forming,K-Band (IR),PROTO-MATTER,
,9,09h16m38.4s -11d38m42s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,26,16h36m41.8s +35d36m49s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,436,01h02m34.8s +82d35m30s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,460,02h10m45.7s +28d04m31s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38,16h49m03.5s +12d21m05s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,09h08m49.8s +08d31m19s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h38m42.0s -55d01m31s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,556,14h21m57.1s -20d41m07s,1.37,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,866,04h51m49.8s -02d45m14s,1.23,0.9999,0.271,Forming,K-Band (IR),PROTO-MATTER,,,18,19h00m08.9s +09d53m59s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,09h19m21.3s -11d32m30s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,26,16h36m06.5s +35d34m51s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,436,01h03m02.0s +82d30m40s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,460,02h02m22.5s +28d16m45s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38,16h51m12.8s +12d14m60s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,09h09m42.5s +08d34m13s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h43m14.4s -54d47m51s,1.05,0.9999,0.232,Forming,K-Band (IR),PROTO-MATTER,,,556,14h20m23.4s -20d39m31s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,866,04h44m34.7s -02d37m25s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18,18h59m31.2s +09d54m12s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,09h20m15.5s -11d30m26s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,26,16h33m48.5s +35d26m53s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,437,01h04m25.7s +82d18m44s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,460,01h58m18.8s +28d22m53s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38,16h52m17.5s +12d11m58s,0.84,0.9999,0.185,Forming,K-Band (IR),PROTO-MATTER,,,12,09h10m08.5s +08d35m40s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h44m09.0s -54d45m08s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,556,14h14m20.2s -20d33m21s,0.5,0.7665,0.188,Collapse,X-Ray / Gamma,SINGULARITY,,,866,04h42m07.8s -02d34m51s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18,18h58m53.3s +09d54m24s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
