SECTION B,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,#REF!,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,1361,10h18m48.3s -11d35m59s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7052,22h41m01.5s -10d41m39s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8628,12h20m36.3s -53d33m04s,5.64,0.8984,1.538,Collapse,X-Ray / Gamma,SINGULARITY,,,4179,20h50m36.2s -21d11m08s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5225,00h22m51.2s -34d16m38s,0.48,0.7443,0.189,Collapse,X-Ray / Gamma,SINGULARITY,,,471,16h04m13.1s -12d01m33s,1.14,0.9999,0.251,Forming,K-Band (IR),PROTO-MATTER,,,160367,10h35m02.5s -62d01m59s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2296,00h12m04.5s +46d01m15s,0.88,0.9999,0.195,Forming,K-Band (IR),PROTO-MATTER,,,5276,07h38m33.4s +10d46m08s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5551,17h07m24.6s -21d48m18s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1361,10h14m55.3s -11d53m19s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7052,22h14m58.8s -10d11m27s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8630,11h24m52.9s -52d01m12s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4181,22h09m34.1s -22d38m07s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5225,00h18m30.4s -34d19m45s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,471,16h30m52.0s -11d30m21s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160371,09h47m11.4s -59d34m32s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2297,01h33m25.3s +44d12m37s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5277,08h15m31.6s +10d08m59s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5552,16h38m19.1s -20d21m43s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,
,1362,10h10m20.2s -12d10m49s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7054,20h54m14.5s -08d40m20s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8631,11h15m55.7s -51d33m23s,1.11,0.9999,0.244,Forming,K-Band (IR),PROTO-MATTER,,,4181,22h28m16.0s -23d00m34s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,5226,00h13m25.7s -34d22m30s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,471,16h33m39.1s -11d27m18s,0.78,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,,,160373,10h20m42.4s -58d41m09s,0.73,0.9999,0.161,Ghost,Radio / CMB,DARK MATTER,,,2300,02h50m18.2s +41d24m19s,1.15,0.9999,0.254,Forming,K-Band (IR),PROTO-MATTER,,,5278,09h13m36.0s +09d10m31s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5553,16h36m44.5s -20d08m27s,1.05,0.9999,0.231,Forming,K-Band (IR),PROTO-MATTER,
,1362,10h05m02.9s -12d28m27s,0.83,0.6859,0.387,Collapse,X-Ray / Gamma,SINGULARITY,,,,7055,20h13m53.0s -07d54m45s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8634,11h34m11.0s -49d59m21s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4183,00h03m42.0s -25d19m48s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5226,00h01m05.9s -34d26m53s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,471,16h36m27.6s -11d24m16s,0.73,0.8463,0.224,Collapse,X-Ray / Gamma,SINGULARITY,,,160375,11h27m52.4s -58d03m28s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2302,02h58m32.8s +39d03m58s,0.79,0.8585,0.237,Collapse,X-Ray / Gamma,SINGULARITY,,,5279,09h53m03.8s +08d29m51s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5554,16h37m17.5s -19d13m20s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1362,10h01m08.0s -12d40m17s,1.01,0.8445,0.312,Collapse,X-Ray / Gamma,SINGULARITY,,,,7056,18h57m17.8s -06d24m23s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8636,12h41m08.9s -49d09m53s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4185,00h44m47.2s -26d55m25s,1.19,0.9999,0.261,Forming,K-Band (IR),PROTO-MATTER,,,5226,23h57m34.1s -34d27m45s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,471,16h39m17.2s -11d21m14s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160379,14h37m37.0s -57d39m11s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2303,02h53m32.3s +38d36m18s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5279,10h12m45.3s +08d09m03s,0.81,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,5555,16h58m57.4s -17d45m04s,0.73,0.9999,0.16,Ghost,Radio / CMB,DARK MATTER,
,1362,09h59m03.5s -12d46m14s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7056,18h45m25.1s -06d09m30s,1.55,0.9999,0.342,Stable,V-Band (Green),MAGNESIUM,,,8638,13h44m44.0s -48d48m14s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4185,00h56m51.5s -27d43m34s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5227,23h49m58.8s -34d29m11s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,471,16h50m47.9s -11d09m14s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160381,16h10m11.1s -57d53m32s,1.03,0.9999,0.227,Forming,K-Band (IR),PROTO-MATTER,,,2303,02h36m57.1s +37d41m42s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5280,10h51m36.5s +07d26m35s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,5556,17h11m37.7s -17d14m19s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1362,09h54m40.6s -12d58m09s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7057,17h51m33.4s -04d56m12s,0.7,0.9999,0.153,Ghost,Radio / CMB,DARK MATTER,,,8638,14h20m09.3s -48d41m01s,0.95,0.9999,0.209,Forming,K-Band (IR),PROTO-MATTER,,,4186,01h03m22.0s -28d55m43s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5227,23h45m55.6s -34d29m45s,2.16,0.9999,0.476,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,471,16h53m43.6s -11d06m16s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160383,17h21m08.3s -58d25m25s,0.7,0.9999,0.155,Ghost,Radio / CMB,DARK MATTER,,,2304,02h25m28.1s +37d14m50s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5280,11h29m09.6s +06d43m04s,0.78,0.876,0.223,Collapse,X-Ray / Gamma,SINGULARITY,,,5556,17h35m27.6s -16d27m07s,0.79,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,
,1362,09h49m59.1s -13d10m07s,2.82,0.9999,0.621,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,7058,17h42m04.6s -04d41m49s,0.82,0.7881,0.291,Collapse,X-Ray / Gamma,SINGULARITY,,,8643,17h50m25.3s -48d50m42s,0.83,0.7488,0.326,Collapse,X-Ray / Gamma,SINGULARITY,,,4188,00h42m13.4s -30d54m15s,1.11,0.9999,0.244,Forming,K-Band (IR),PROTO-MATTER,,,5227,23h37m18.4s -34d30m36s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,472,16h59m38.2s -11d00m23s,1.86,0.9999,0.41,High-Tension,B/V (Violet),CALCIUM,,,160387,17h57m25.9s -60d18m34s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2304,02h11m57.1s +36d48m17s,1.13,0.9999,0.248,Forming,K-Band (IR),PROTO-MATTER,,,5282,12h37m35.7s +05d13m22s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5557,17h54m22.9s -15d54m60s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1363,09h47m31.4s -13d16m07s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7058,17h24m36.4s -04d13m22s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8646,19h09m08.2s -49d48m16s,1.55,0.9999,0.342,Stable,V-Band (Green),MAGNESIUM,,,4189,00h22m48.5s -31d40m33s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5227,23h28m01.2s -34d31m02s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,472,17h11m40.5s -10d48m46s,0.73,0.9999,0.161,Ghost,Radio / CMB,DARK MATTER,,,160393,14h26m21.0s -64d49m07s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2305,01h39m11.5s +35d56m21s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5283,13h20m32.4s +04d04m14s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5558,18h26m54.4s -15d05m59s,1.46,0.9999,0.322,Stable,V-Band (Green),MAGNESIUM,
,1363,09h42m22.3s -13d28m10s,0.77,0.9791,0.177,Ghost,Radio / CMB,DARK MATTER,,,,7058,17h16m39.7s -03d59m19s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8651,18h19m35.2s -52d25m57s,1.09,0.9221,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4191,23h09m52.2s -33d31m55s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5227,23h23m07.9s -34d31m06s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,472,17h14m43.7s -10d45m54s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160397,11h11m30.0s -68d30m49s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2307,00h37m31.7s +34d41m49s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5284,13h54m09.7s +02d54m01s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5559,19h16m57.8s -13d59m21s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1363,09h34m04.4s -13d46m19s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7059,17h09m16.5s -03d45m24s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8654,16h08m37.3s -54d50m56s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4192,22h32m25.6s -34d14m15s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5228,23h18m05.0s -34d31m05s,0.68,0.9999,0.149,Ghost,Radio / CMB,DARK MATTER,,,472,17h23m59.2s -10d37m23s,0.23,0.56,0.16,Collapse,X-Ray / Gamma,SINGULARITY,,,160399,10h03m38.4s -70d25m55s,0.69,0.8688,0.201,Collapse,X-Ray / Gamma,SINGULARITY,,,2307,00h14m12.4s +34d18m01s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5284,14h03m01.0s +02d30m27s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5559,19h44m20.5s -13d25m36s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1363,09h21m57.7s -14d10m40s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7059,17h02m27.8s -03d31m36s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8655,15h29m15.8s -55d31m06s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4192,22h12m17.4s -34d34m51s,0.87,0.9999,0.192,Forming,K-Band (IR),PROTO-MATTER,,,5228,22h56m21.1s -34d29m55s,2.58,0.9999,0.568,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,472,17h30m14.3s -10d31m47s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160401,09h31m28.2s -72d19m55s,1.23,0.9999,0.272,Forming,K-Band (IR),PROTO-MATTER,,,2307,23h49m46.5s +33d54m47s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5284,14h10m36.7s +02d06m50s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5560,20h42m29.3s -12d17m33s,1.52,0.9999,0.334,Stable,V-Band (Green),MAGNESIUM,
,1363,09h15m27.8s -14d22m53s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7059,16h56m14.8s -03d17m57s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8656,14h08m49.7s -56d55m11s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4193,21h07m28.8s -35d34m08s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5228,22h44m36.3s -34d28m43s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,472,17h33m23.2s -10d29m00s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160417,18h19m40.6s -81d32m04s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2308,22h58m18.3s +33d10m12s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5285,14h21m51.4s +01d19m31s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5561,21h43m14.4s -11d09m09s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1364,09h12m06.4s -14d29m00s,0.48,0.7083,0.21,Collapse,X-Ray / Gamma,SINGULARITY,,,,7059,16h50m38.7s -03d04m26s,0.51,0.7897,0.179,Collapse,X-Ray / Gamma,SINGULARITY,,,8657,13h29m39.6s -57d38m47s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4193,20h44m47.4s -35d52m59s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5229,22h25m57.9s -34d26m07s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,472,17h46m07.4s -10d18m02s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160421,17h06m22.9s -81d03m08s,1.23,0.9999,0.271,Forming,K-Band (IR),PROTO-MATTER,,,2309,22h31m38.9s +32d48m54s,1.49,0.9999,0.327,Stable,V-Band (Green),MAGNESIUM,,,5285,14h25m26.4s +00d55m51s,0.93,0.8005,0.318,Collapse,X-Ray / Gamma,SINGULARITY,,,5562,22h13m49.9s -10d34m58s,1.67,0.8433,0.517,Collapse,X-Ray / Gamma,SINGULARITY,
,1364,08h57m58.1s -14d53m34s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7060,16h32m21.3s -01d59m15s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8658,12h52m26.8s -58d23m12s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4194,19h58m30.1s -36d29m13s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5229,22h19m29.7s -34d25m02s,0.58,0.861,0.171,Collapse,X-Ray / Gamma,SINGULARITY,,,472,17h49m20.5s -10d15m20s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160427,12h05m04.9s -78d02m52s,0.71,0.8536,0.214,Collapse,X-Ray / Gamma,SINGULARITY,,,2309,22h04m38.5s +32d28m19s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5286,14h27m44.9s +00d14m57s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5562,22h44m09.1s -10d00m53s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1364,08h50m28.9s -15d05m53s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7061,16h29m48.1s -01d34m24s,6.62,0.9999,1.457,Fuel,UV / Lyman,HYDROGEN,,,8659,11h47m25.9s -59d53m53s,0.49,0.7109,0.215,Collapse,X-Ray / Gamma,SINGULARITY,,,4195,19h11m50.2s -37d03m20s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5229,22h12m54.2s -34d23m51s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,472,17h52m34.4s -10d12m39s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160429,10h34m21.3s -76d31m28s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2310,20h43m34.3s +31d31m06s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5287,14h22m08.8s -01d01m49s,1.6,0.9999,0.353,Stable,V-Band (Green),MAGNESIUM,,,5562,22h59m06.6s -09d43m54s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1364,08h46m38.2s -15d12m03s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7061,16h30m04.2s -01d10m19s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8661,11h00m07.5s -61d25m50s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4196,18h25m48.8s -37d35m12s,1.55,0.9999,0.342,Stable,V-Band (Green),MAGNESIUM,,,5229,22h06m11.6s -34d22m33s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,472,17h59m04.4s -10d07m19s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160441,14h10m39.9s -64d44m31s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2311,20h17m13.2s +31d13m38s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5288,14h10m51.2s -01d48m14s,0.81,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,5563,23h13m52.9s -09d26m58s,6.23,0.9928,1.391,Fuel,UV / Lyman,HYDROGEN,
,1365,08h04m38.2s -16d13m51s,1.82,0.9999,0.401,High-Tension,B/V (Violet),CALCIUM,,,,7062,16h33m11.5s +00d47m03s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8662,10h44m40.5s -62d11m52s,1.48,0.9999,0.325,Stable,V-Band (Green),MAGNESIUM,,,4199,15h19m37.0s -39d35m42s,1.06,0.9999,0.233,Forming,K-Band (IR),PROTO-MATTER,,,5229,21h52m26.2s -34d19m38s,3.47,0.9999,0.764,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,473,18h02m20.5s -10d04m41s,1.05,0.9999,0.232,Forming,K-Band (IR),PROTO-MATTER,,,160454,16h49m33.3s -56d14m04s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2312,19h26m44.9s +30d41m18s,0.89,0.8929,0.246,Collapse,X-Ray / Gamma,SINGULARITY,,,5288,13h54m00.1s -02d34m04s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5563,23h56m41.5s -08d36m31s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1365,07h46m09.3s -16d38m36s,1.36,0.9825,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7063,16h43m14.2s +00d13m48s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8662,10h35m17.1s -62d57m40s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4202,14h30m35.7s -40d16m06s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5230,21h38m15.9s -34d16m16s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,473,18h05m37.2s -10d02m04s,0.7,0.9999,0.154,Ghost,Radio / CMB,DARK MATTER,,,160456,15h07m45.0s -55d47m18s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2313,18h40m33.4s +30d12m34s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5289,13h31m49.7s -03d19m09s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5564,00h23m35.5s -08d03m15s,0.64,0.9999,0.142,Ghost,Radio / CMB,DARK MATTER,
,1366,07h16m49.8s -17d15m39s,1,0.9999,0.22,Forming,K-Band (IR),PROTO-MATTER,,,,7063,16h59m37.7s +00d17m21s,1.04,0.9999,0.228,Forming,K-Band (IR),PROTO-MATTER,,,8663,10h32m13.4s -63d43m06s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4202,14h30m39.0s -40d18m38s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5230,21h31m02.0s -34d14m25s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,473,18h22m10.4s -09d49m13s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160458,13h13m11.9s -55d40m58s,2.03,0.8991,0.553,Collapse,X-Ray / Gamma,SINGULARITY,,,2313,18h19m31.8s +29d59m38s,2.11,0.9999,0.465,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,5290,12h49m21.3s -04d25m04s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5564,00h48m50.4s -07d30m23s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1366,07h06m39.9s -17d27m59s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7064,17h13m58.9s +00d36m52s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8665,11h01m26.5s -65d55m16s,1.42,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4203,14h36m16.9s -40d21m12s,2.18,0.9999,0.48,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,5230,21h16m18.5s -34d10m23s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,473,18h32m13.0s -09d41m42s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160460,11h24m05.6s -55d55m23s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2314,17h42m27.5s +29d36m42s,0.63,0.9537,0.151,Ghost,Radio / CMB,DARK MATTER,,,5290,12h32m57.7s -04d46m30s,0.74,0.7619,0.28,Collapse,X-Ray / Gamma,SINGULARITY,,,5565,01h22m59.9s -06d41m57s,1.15,0.9999,0.253,Forming,K-Band (IR),PROTO-MATTER,
,1366,06h56m19.2s -17d40m17s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7064,17h22m09.2s +00d46m15s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8668,12h59m05.8s -68d35m26s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4204,15h09m17.4s -40d16m08s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5230,21h08m49.3s -34d08m13s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,473,18h35m34.8s -09d39m14s,1.59,0.9999,0.35,Stable,V-Band (Green),MAGNESIUM,,,160462,09h57m53.4s -56d30m21s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2315,17h13m01.1s +29d17m50s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5292,10h36m05.8s -06d48m22s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5566,02h00m17.0s -05d39m17s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
