--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---
--- IMAGE REDIRECT ACTIVE ---
--- INITIATING DEEP DRILL SCAN ---
Target: RA 17.761, DEC -29.008
Volume: 26000 to 26000.1 XYZ

XYZ      | Coordinate             | PULL   | Sync   | m      | Stab.         | Band            | IDENTITY
16000    | 22h42m22.1s +11d13m59s | 1.36   | 0.9999 | 0.299  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h45m15.2s +11d12m12s | 3.74   | 0.9999 | 0.823  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
16000    | 22h49m06.0s +11d09m50s | 1.38   | 0.9999 | 0.303  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h50m03.7s +11d09m14s | 1.38   | 0.9999 | 0.303  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h51m01.4s +11d08m39s | 1.38   | 0.9999 | 0.303  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h54m52.2s +11d06m16s | 1.36   | 0.9999 | 0.299  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h55m49.9s +11d05m41s | 1.36   | 0.9999 | 0.299  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h56m47.6s +11d05m05s | 1.36   | 0.9999 | 0.299  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h57m45.3s +11d04m30s | 1.30   | 0.9999 | 0.287  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h58m43.0s +11d03m54s | 1.30   | 0.9999 | 0.287  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h59m40.7s +11d03m18s | 1.30   | 0.9999 | 0.287  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 23h03m31.5s +11d00m56s | 1.29   | 0.9999 | 0.283  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 23h04m29.2s +11d00m20s | 1.29   | 0.9999 | 0.283  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 23h05m26.8s +10d59m45s | 1.29   | 0.9999 | 0.283  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 23h06m24.5s +10d59m09s | 1.35   | 0.9999 | 0.297  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 23h07m22.2s +10d58m34s | 1.35   | 0.9999 | 0.297  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 23h08m19.9s +10d57m58s | 1.35   | 0.9999 | 0.297  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 23h09m17.6s +10d57m22s | 1.41   | 0.9999 | 0.311  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 23h10m15.3s +10d56m47s | 1.41   | 0.9999 | 0.311  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 23h11m13.0s +10d56m11s | 1.41   | 0.9999 | 0.311  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 23h14m06.1s +10d54m25s | 1.17   | 0.9923 | 0.261  | Forming       | K-Band (IR)     | PROTO-MATTER
16000    | 23h23m43.0s +10d48m29s | 1.45   | 0.9999 | 0.319  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 23h24m40.7s +10d47m53s | 1.45   | 0.9999 | 0.319  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 23h25m38.4s +10d47m18s | 1.45   | 0.9999 | 0.319  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 23h33m19.9s +10d42m33s | 1.96   | 0.9999 | 0.431  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
16000    | 23h35m15.2s +10d41m22s | 1.85   | 0.7394 | 0.746  | Collapse      | X-Ray / Gamma   | SINGULARITY
16000    | 23h36m12.9s +10d40m46s | 1.85   | 0.7394 | 0.746  | Collapse      | X-Ray / Gamma   | SINGULARITY
16000    | 23h37m10.6s +10d40m11s | 1.85   | 0.7394 | 0.746  | Collapse      | X-Ray / Gamma   | SINGULARITY
16000    | 23h41m01.3s +10d37m49s | 1.36   | 0.9999 | 0.299  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 23h41m59.0s +10d37m13s | 1.36   | 0.9999 | 0.299  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 23h42m56.7s +10d36m38s | 1.36   | 0.9999 | 0.299  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 23h46m47.4s +10d34m15s | 1.00   | 0.8115 | 0.334  | Collapse      | X-Ray / Gamma   | SINGULARITY
16000    | 23h47m45.1s +10d33m40s | 1.00   | 0.8115 | 0.334  | Collapse      | X-Ray / Gamma   | SINGULARITY
16000    | 23h48m42.8s +10d33m04s | 1.00   | 0.8115 | 0.334  | Collapse      | X-Ray / Gamma   | SINGULARITY
16000    | 23h52m33.5s +10d30m42s | 0.37   | 0.6759 | 0.179  | Collapse      | X-Ray / Gamma   | SINGULARITY
16000    | 23h53m31.2s +10d30m07s | 0.37   | 0.6759 | 0.179  | Collapse      | X-Ray / Gamma   | SINGULARITY
16000    | 23h54m28.9s +10d29m31s | 0.37   | 0.6759 | 0.179  | Collapse      | X-Ray / Gamma   | SINGULARITY
16000    | 00h02m10.4s +10d24m47s | 1.94   | 0.9999 | 0.428  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
16000    | 00h04m05.7s +10d23m36s | 1.30   | 0.9999 | 0.287  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 00h05m03.4s +10d23m00s | 1.30   | 0.9999 | 0.287  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 00h06m01.1s +10d22m25s | 1.30   | 0.9999 | 0.287  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 00h09m51.8s +10d20m02s | 0.82   | 0.9999 | 0.179  | Ghost         | Radio / CMB     | DARK MATTER
16000    | 00h10m49.5s +10d19m27s | 0.82   | 0.9999 | 0.179  | Ghost         | Radio / CMB     | DARK MATTER
